,day,y
749,749,4
750,750,10
751,751,10
752,752,6
753,753,0
754,754,3
755,755,3
756,756,3
757,757,3
758,758,3
759,759,3
760,760,3
761,761,3
762,762,10
763,763,10
764,764,10
765,765,10
766,766,6
767,767,6
768,768,6
769,769,9
770,770,9
771,771,9
772,772,9
773,773,6
774,774,8
775,775,8
776,776,0
777,777,0
778,778,0
779,779,8
780,780,8
781,781,10
782,782,10
783,783,1
784,784,1
785,785,1
786,786,1
787,787,1
788,788,1
789,789,1
790,790,9
791,791,1
792,792,1
793,793,9
794,794,9
795,795,9
796,796,9
797,797,9
798,798,5
799,799,5
800,800,5
801,801,9
802,802,9
803,803,9
804,804,9
805,805,9
806,806,8
807,807,8
808,808,8
809,809,8
810,810,8
811,811,8
812,812,8
813,813,8
814,814,8
815,815,6
816,816,6
817,817,6
818,818,1
819,819,6
820,820,2
821,821,2
822,822,1
823,823,1
824,824,2
825,825,1
826,826,1
827,827,1
828,828,1
829,829,1
830,830,9
831,831,4
832,832,4
833,833,4
834,834,4
835,835,10
836,836,10
837,837,10
838,838,10
839,839,10
840,840,10
841,841,10
842,842,10
843,843,10
844,844,8
845,845,8
846,846,8
847,847,8
848,848,8
849,849,8
850,850,8
851,851,8
852,852,3
853,853,3
854,854,3
855,855,3
856,856,1
857,857,6
858,858,6
859,859,6
860,860,2
861,861,1
862,862,10
863,863,1
864,864,1
865,865,1
866,866,1
867,867,1
868,868,1
869,869,1
870,870,1
871,871,1
872,872,9
873,873,1
874,874,9
875,875,9
876,876,9
877,877,9
878,878,9
879,879,9
880,880,9
881,881,9
882,882,0
883,883,9
884,884,9
885,885,9
886,886,9
887,887,5
888,888,5
889,889,5
890,890,5
891,891,5
892,892,10
893,893,10
894,894,10
895,895,10
896,896,10
897,897,10
898,898,10
899,899,10
900,900,4
901,901,4
902,902,4
903,903,4
904,904,4
905,905,1
906,906,4
907,907,8
908,908,8
909,909,8
910,910,9
911,911,9
912,912,9
913,913,9
914,914,9
915,915,9
916,916,9
917,917,9
918,918,9
919,919,9
920,920,10
921,921,10
922,922,10
923,923,10
924,924,10
925,925,8
926,926,8
927,927,4
928,928,4
929,929,2
930,930,10
931,931,2
932,932,4
933,933,7
934,934,4
935,935,4
936,936,4
937,937,6
938,938,6
939,939,6
940,940,5
941,941,5
942,942,0
943,943,0
944,944,0
945,945,5
946,946,5
947,947,5
948,948,3
949,949,10
950,950,10
951,951,10
952,952,10
953,953,9
954,954,9
955,955,9
956,956,9
957,957,9
958,958,8
959,959,9
960,960,9
961,961,9
962,962,8
963,963,2
964,964,2
965,965,8
966,966,8
967,967,4
968,968,4
969,969,10
970,970,10
971,971,10
972,972,10
973,973,10
974,974,10
975,975,10
976,976,10
977,977,8
978,978,1
979,979,1
980,980,1
981,981,1
982,982,1
983,983,1
984,984,1
985,985,2
986,986,2
987,987,6
988,988,6
989,989,6
990,990,6
991,991,6
992,992,6
993,993,6
994,994,6
995,995,6
996,996,1
997,997,1
998,998,1
999,999,1
1000,1000,1
1001,1001,1
1002,1002,1
1003,1003,1
1004,1004,1
1005,1005,1
1006,1006,1
1007,1007,1
1008,1008,1
1009,1009,1
1010,1010,1
1011,1011,1
1012,1012,1
1013,1013,1
1014,1014,4
1015,1015,1
1016,1016,1
1017,1017,4
1018,1018,1
1019,1019,1
1020,1020,1
1021,1021,2
1022,1022,2
1023,1023,2
1024,1024,2
1025,1025,2
1026,1026,2
1027,1027,10
1028,1028,4
1029,1029,8
1030,1030,8
1031,1031,8
1032,1032,8
1033,1033,3
