,day,y
364,364,Telecommunications Services
365,365,Telecommunications Services
366,366,Telecommunications Services
367,367,Telecommunications Services
368,368,Telecommunications Services
369,369,Telecommunications Services
370,370,Telecommunications Services
371,371,Consumer Staples
372,372,Consumer Staples
373,373,Consumer Staples
374,374,Health Care
375,375,Industrials
376,376,Health Care
377,377,Industrials
378,378,Industrials
379,379,Health Care
380,380,Health Care
381,381,Health Care
382,382,Health Care
383,383,Telecommunications Services
384,384,Telecommunications Services
385,385,Telecommunications Services
386,386,Telecommunications Services
387,387,Telecommunications Services
388,388,Telecommunications Services
389,389,Telecommunications Services
390,390,Telecommunications Services
391,391,Telecommunications Services
392,392,Telecommunications Services
393,393,Telecommunications Services
394,394,Consumer Staples
395,395,Consumer Staples
396,396,Telecommunications Services
397,397,Telecommunications Services
398,398,Telecommunications Services
399,399,Telecommunications Services
400,400,Telecommunications Services
401,401,Telecommunications Services
402,402,Telecommunications Services
403,403,Telecommunications Services
404,404,Telecommunications Services
405,405,Telecommunications Services
406,406,Telecommunications Services
407,407,Telecommunications Services
408,408,Telecommunications Services
409,409,Telecommunications Services
410,410,Utilities
411,411,Utilities
412,412,Real Estate
413,413,Utilities
414,414,Utilities
415,415,Real Estate
416,416,Real Estate
417,417,Real Estate
418,418,Real Estate
419,419,Real Estate
420,420,Real Estate
421,421,Real Estate
422,422,Real Estate
423,423,Health Care
424,424,Health Care
425,425,Health Care
426,426,Health Care
427,427,Health Care
428,428,Health Care
429,429,Health Care
430,430,Health Care
431,431,Health Care
432,432,Industrials
433,433,Industrials
434,434,Industrials
435,435,Materials
436,436,Materials
437,437,Telecommunications Services
438,438,Telecommunications Services
439,439,Telecommunications Services
440,440,Materials
441,441,Telecommunications Services
442,442,Telecommunications Services
443,443,Telecommunications Services
444,444,Consumer Discretionary
445,445,Consumer Discretionary
446,446,Telecommunications Services
447,447,Health Care
448,448,Health Care
449,449,Health Care
450,450,Health Care
451,451,Health Care
452,452,Health Care
453,453,Health Care
454,454,Health Care
455,455,Real Estate
456,456,Health Care
457,457,Utilities
458,458,Utilities
459,459,Utilities
460,460,Utilities
461,461,Real Estate
462,462,Utilities
463,463,Energy
464,464,Energy
465,465,Energy
466,466,Energy
467,467,Energy
468,468,Energy
469,469,Consumer Discretionary
470,470,Consumer Discretionary
471,471,Telecommunications Services
472,472,Real Estate
473,473,Real Estate
474,474,Health Care
475,475,Real Estate
476,476,Real Estate
477,477,Real Estate
478,478,Real Estate
479,479,Real Estate
480,480,Real Estate
481,481,Real Estate
482,482,Telecommunications Services
483,483,Telecommunications Services
484,484,Telecommunications Services
485,485,Real Estate
486,486,Energy
487,487,Real Estate
488,488,Utilities
489,489,Health Care
490,490,Energy
491,491,Energy
492,492,Telecommunications Services
493,493,Telecommunications Services
494,494,Telecommunications Services
495,495,Telecommunications Services
496,496,Telecommunications Services
497,497,Telecommunications Services
498,498,Telecommunications Services
499,499,Telecommunications Services
500,500,Telecommunications Services
501,501,Materials
502,502,Materials
503,503,Materials
504,504,Consumer Discretionary
505,505,Consumer Discretionary
506,506,Consumer Discretionary
507,507,Consumer Discretionary
508,508,Health Care
509,509,Health Care
510,510,Consumer Discretionary
511,511,Consumer Discretionary
512,512,Health Care
513,513,Health Care
514,514,Information Technology
515,515,Health Care
516,516,Health Care
517,517,Real Estate
518,518,Health Care
519,519,Health Care
520,520,Health Care
521,521,Health Care
522,522,Health Care
523,523,Health Care
524,524,Health Care
525,525,Health Care
526,526,Health Care
527,527,Energy
528,528,Health Care
529,529,Energy
530,530,Energy
531,531,Energy
532,532,Energy
533,533,Energy
534,534,Energy
535,535,Energy
536,536,Energy
537,537,Consumer Discretionary
538,538,Energy
539,539,Energy
540,540,Energy
541,541,Energy
542,542,Energy
543,543,Energy
544,544,Health Care
545,545,Energy
546,546,Energy
547,547,Energy
548,548,Energy
549,549,Telecommunications Services
550,550,Telecommunications Services
551,551,Telecommunications Services
552,552,Telecommunications Services
553,553,Telecommunications Services
554,554,Financials
555,555,Materials
556,556,Materials
557,557,Materials
558,558,Materials
559,559,Materials
560,560,Materials
561,561,Health Care
562,562,Health Care
563,563,Health Care
564,564,Health Care
565,565,Health Care
566,566,Health Care
567,567,Health Care
568,568,Health Care
569,569,Health Care
570,570,Health Care
571,571,Health Care
572,572,Health Care
573,573,Health Care
574,574,Telecommunications Services
575,575,Telecommunications Services
576,576,Telecommunications Services
577,577,Telecommunications Services
578,578,Telecommunications Services
579,579,Financials
580,580,Health Care
581,581,Telecommunications Services
582,582,Telecommunications Services
583,583,Financials
584,584,Health Care
585,585,Health Care
586,586,Health Care
587,587,Health Care
588,588,Health Care
589,589,Health Care
590,590,Health Care
591,591,Health Care
592,592,Telecommunications Services
593,593,Telecommunications Services
594,594,Telecommunications Services
595,595,Telecommunications Services
596,596,Telecommunications Services
597,597,Telecommunications Services
598,598,Real Estate
599,599,Real Estate
600,600,Real Estate
601,601,Real Estate
602,602,Consumer Discretionary
603,603,Real Estate
604,604,Real Estate
605,605,Information Technology
606,606,Consumer Discretionary
