,ABT,ABBV,AET,A,ALXN,AGN,ABC,AMGN,ANTM,BAX,BDX,BIIB,BSX,CAH,CELG,CNC,CERN,CI,DVA,XRAY,EW,ESRX,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,PDCO,PKI,PRGO,PFE,DGX,REGN,SYK,COO,TMO,UNH,UHS,VAR,VRTX,WAT,ZBH,ZTS
426,39.9548,53.6286,73.1237,50.7896,158.5787,215.1079,75.7592,130.3123,110.9402,67.7024,123.5265,304.8013,11.326,72.9286,85.4918,38.4889,56.5518,87.5093,72.6495,45.123,50.062,69.8651,95.6092,64.6143,55.7249,23.2096,122.968,58.3562,149.6355,47.2368,152.0331,97.5669,97.1322,62.1629,183.3591,61.6183,54.9372,232.8513,46.1996,39.9752,39.5711,145.1161,27.9937,57.2931,328.6791,79.1143,145.8504,109.8522,81.983,99.2985,77.8235,101.02,94.6117,96.6151,34.8902
427,39.9096,54.2971,74.1028,54.3409,161.4767,220.0874,75.2,129.4618,112.5214,68.3757,121.7075,302.3352,11.3845,72.5443,86.0496,39.2376,56.6569,88.6822,72.1618,44.7511,49.0287,69.7515,96.6883,66.8628,55.406,23.1059,126.7587,58.8453,158.7851,50.5079,153.0824,97.0579,97.7692,64.1832,185.3128,62.1642,53.5649,234.7951,48.0948,39.7004,39.7701,145.0616,27.7611,57.9069,337.9772,79.427,147.0578,110.1882,85.6286,102.4874,78.9118,101.1283,95.2349,96.2914,34.9252
428,40.7287,53.3153,75.3172,52.6381,166.1271,225.9044,75.8392,132.6486,114.9854,67.4049,121.8399,308.4304,11.4265,73.6813,88.3603,39.46,56.9874,89.2729,72.6775,45.0414,49.6333,70.5554,100.5017,69.5352,56.4767,23.7107,127.6263,59.7493,164.6445,50.3753,156.5768,98.4016,98.7987,62.4383,190.6299,61.9373,54.1695,240.8613,49.4863,40.2051,40.2058,146.3183,27.8227,58.7788,370.2322,80.058,149.6422,112.0056,87.5831,103.8102,79.3699,101.6511,96.6042,97.2812,35.331
429,41.1497,54.015,76.0707,51.6478,167.8059,225.1177,75.4761,135.5854,115.9876,67.568,122.5715,309.7231,11.5133,73.8021,91.0544,39.5693,57.8098,90.2527,73.1368,44.652,50.3155,71.101,102.1297,69.2946,56.5639,23.8895,129.3205,59.8939,163.9276,50.4383,160.4354,98.7676,98.6547,62.8126,192.0733,63.5704,54.0755,239.761,49.7784,40.3976,40.0397,148.4366,27.7932,59.1938,364.7326,80.458,149.6546,113.4308,88.4525,103.9605,79.888,104.1028,97.3041,98.5399,35.469
430,42.1876,55.7315,78.0557,53.5097,172.1482,230.2094,76.5486,142.5834,119.9567,68.3374,123.19,322.1432,11.9438,75.5573,94.6058,41.0631,59.1049,92.1882,75.0175,45.7108,52.4839,73.4359,104.9739,71.1467,57.9359,24.5652,133.0115,61.6642,178.6259,51.6097,163.5096,99.9006,100.6877,64.3584,196.3916,64.9046,54.8553,248.87,51.5759,41.2661,41.2006,149.4664,28.3125,60.6764,376.5436,82.2094,154.9769,117.5066,90.427,106.5801,81.6072,108.1578,105.7294,100.6996,35.9414
431,41.9456,56.9762,78.5136,53.3681,173.2368,233.2959,76.8131,143.0183,119.4048,68.5317,124.0079,303.5184,12.4603,76.1943,95.192,41.2216,58.641,91.9587,75.7167,45.7776,52.7151,73.0745,105.8893,70.6928,57.8778,24.514,132.1741,62.4142,185.1757,52.7219,162.3085,101.326,101.7206,64.8667,196.3756,65.0922,55.5108,247.1358,50.7484,41.2764,40.701,150.599,28.3229,61.4161,382.6555,82.6284,155.5758,113.7313,90.36,105.8554,81.4314,107.6325,105.3653,100.5754,36.0663
432,42.474,59.0556,78.8562,53.8973,183.5598,237.3955,77.5124,147.2134,119.8608,69.1531,125.0201,315.9113,12.6133,76.675,99.3262,41.4842,59.7101,92.4193,76.2686,45.9762,52.7586,73.1643,107.1862,71.3004,58.3466,24.819,132.8379,62.8576,188.3018,54.4013,162.9472,102.553,103.0097,64.2776,198.7035,65.6532,56.6761,250.096,50.8059,41.6059,41.0927,153.8356,28.7262,62.6899,393.8185,83.5727,156.096,116.412,90.7572,106.7887,79.11,108.3027,107.3246,104.3905,36.1664
433,42.3552,60.0616,78.3911,53.8812,188.9837,239.2079,78.0165,146.6383,119.9433,69.7232,125.5487,319.4814,12.9505,76.9081,102.2959,40.9073,60.4445,92.4312,76.6044,46.1033,58.0651,73.4421,110.3269,71.4724,58.7548,24.8881,132.4611,67.8994,188.1789,55.0144,160.0011,102.8616,103.4367,65.7257,200.362,66.1946,57.2315,251.4755,50.9072,41.8099,41.4332,154.9075,29.0589,63.5441,401.1073,84.0913,157.0841,117.5395,91.3333,107.862,80.4906,109.4205,108.2228,105.0262,36.4406
434,42.2426,60.6569,79.1991,53.9153,189.5851,237.901,79.5946,147.8693,120.3328,69.8469,125.7966,319.6451,13.0894,78.2972,102.907,40.9719,62.2101,92.6956,76.5978,46.553,58.285,73.4035,111.8721,71.3468,58.9214,25.1395,132.9314,69.0207,190.6123,56.3234,158.2657,103.9218,103.074,66.1401,202.3717,66.4073,56.4537,252.7747,50.8267,42.1147,41.7075,154.8605,29.0529,63.1109,404.2846,84.3732,157.9562,117.7974,91.9466,108.4806,81.5314,110.3732,108.3429,105.1616,36.5889
435,42.3133,60.7717,77.0511,54.4497,192.0265,238.2883,79.3251,155.5075,119.1896,69.9845,126.222,317.4961,13.1647,78.1702,105.386,43.1893,63.056,91.6507,77.2591,47.1433,58.9368,73.9228,113.0123,70.7449,59.1776,25.4572,132.8325,70.997,190.9847,58.251,162.7451,104.1563,107.5027,64.5164,200.1167,66.3905,55.0129,255.6342,51.3808,42.1146,42.5096,155.678,29.0156,63.5487,401.4346,85.7372,160.9792,118.2481,91.5994,106.4383,83.2296,113.8871,109.5143,107.2818,36.8087
