,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BBT,BRK.B,BLK,HRB,COF,CBOE,SCHW,CB,CINF,C,CME,CMA,DFS,ETFC,FITB,BEN,GS,HIG,HBAN,IVZ,JPM,KEY,LUK,LNC,L,MTB,MMC,MET,MCO,MS,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RF,SPGI,STT,STI,TROW,BK,TRV,TMK,USB,UNM,WFC,XL,ZION
700,169.5574,63.3019,62.5806,71.1654,59.9122,112.6144,93.6891,43.2369,82.8475,17.2302,37.5465,132.5211,348.8436,36.1297,77.3269,69.608,32.2626,112.8594,59.9335,53.119,94.9931,45.0782,56.1132,28.8892,19.6281,40.0562,191.1245,45.5136,11.288,31.9754,65.904,12.7839,18.249,54.6339,37.2603,122.7215,54.5671,50.0962,97.2524,33.7175,56.8501,73.3693,16.3928,92.6705,49.1876,30.6636,84.9123,9.7097,94.7861,69.975,42.3744,74.7591,42.7014,112.2729,59.0865,42.773,36.27,54.8616,37.0779,29.3336
701,171.7452,63.8064,62.9941,71.3391,61.1215,113.411,93.8963,43.3958,84.1247,17.4686,37.9546,133.2805,354.7046,36.6131,76.924,70.5419,32.9353,113.9436,60.1314,53.7174,95.3082,45.819,56.2214,29.3457,19.9336,40.483,191.4523,45.8069,11.4859,32.2874,66.313,12.9425,18.1833,55.2588,37.6235,124.6344,54.8459,50.4998,101.5281,33.7781,57.5419,74.1638,16.5749,93.5843,49.8252,30.876,85.9209,9.9221,95.5406,71.0941,43.0735,74.8736,43.054,112.9662,59.8332,43.1606,36.6307,55.1153,37.1218,29.8582
702,174.8246,64.5511,63.4075,71.698,61.6348,114.5762,94.5875,43.6035,85.0441,17.7144,38.0833,135.1303,358.1616,36.6656,77.7201,71.1249,33.1529,114.7734,60.4974,54.563,95.7185,46.5107,56.7456,29.5731,20.1517,41.202,193.0427,45.651,11.6242,32.8859,67.1082,13.0243,18.2112,55.6573,37.8702,124.5093,55.2307,50.8542,102.327,34.0001,58.1766,75.1147,16.4855,94.4093,50.553,31.1587,87.0448,9.9762,95.5905,72.3097,43.5162,76.014,43.6647,114.3315,59.8128,43.6516,36.7039,55.448,37.2888,29.9646
703,177.3428,65.1976,63.3537,72.5717,62.0065,115.1324,93.7066,43.778,85.6675,17.7408,38.4667,136.4344,359.4859,36.5886,79.4649,71.7472,33.1302,115.5235,60.6768,55.0558,96.5626,46.3168,57.5837,30.1948,20.3822,41.5387,193.1384,46.0008,11.7013,33.212,67.5596,13.076,18.1524,55.5938,37.8152,125.365,55.4883,50.7189,103.2116,34.2014,59.0908,75.4087,16.4509,95.0305,50.6951,31.39,87.1775,10.018,96.2662,72.6546,43.5401,76.28,43.8678,114.99,60.1759,44.0758,36.5762,55.8421,37.9161,29.9629
704,176.3447,65.8624,63.3994,72.4836,62.2552,114.8948,94.804,44.1902,86.2613,17.7077,38.6249,136.8145,362.2567,36.9176,79.4675,71.818,33.3177,116.5514,60.9673,54.8528,97.4761,46.4885,57.1841,30.3072,20.3707,41.553,191.952,46.0213,11.6908,33.2681,67.6678,13.0708,18.08,55.5851,37.9144,125.2422,55.9463,51.0559,104.3118,34.0498,59.8804,75.6073,16.5757,95.4156,50.9067,31.5669,86.7786,10.1229,96.8724,72.992,43.5471,76.4629,43.8273,115.8453,60.4883,44.1794,36.961,55.9753,38.3699,29.9712
705,176.0133,65.5863,63.1677,72.3807,62.8828,114.276,94.8663,44.244,86.2957,17.5946,38.8524,136.2712,362.9352,37.137,79.0702,71.8621,33.3519,116.3336,61.3035,54.4411,97.3498,46.3818,57.0708,30.1152,20.4543,41.3038,189.8202,46.008,11.6917,33.253,67.133,13.1543,18.0785,55.0532,37.8396,125.2426,55.8147,50.9003,104.4317,33.8285,59.3898,75.4526,16.6204,95.3241,50.8482,31.7556,86.3347,10.1204,96.0904,72.8141,43.6302,76.2895,43.7702,115.7996,60.5926,43.9006,36.9548,55.7796,38.3364,29.9765
706,175.0242,65.2995,62.8922,71.5358,62.9571,112.3668,94.6846,44.1338,85.333,17.4173,38.4311,135.134,358.3524,36.6416,78.4105,70.8911,33.3198,115.5353,61.1183,54.1617,95.8916,46.1872,56.6443,29.8707,20.3904,41.2133,188.2404,45.7224,11.6147,33.1649,66.5768,13.0472,17.9934,54.484,37.813,124.1103,55.4049,50.3482,103.414,33.5187,58.3585,75.0994,16.5481,94.8686,50.5362,31.6605,85.7155,10.0747,96.5652,72.2225,43.3749,75.4923,43.5671,115.3703,60.7241,43.6933,36.5605,55.1947,38.1502,29.8185
707,176.4122,65.182,62.5009,71.5433,63.0933,113.0285,94.534,43.9707,84.844,17.4672,38.4509,135.2248,360.6078,36.8872,78.9481,71.714,33.6336,115.181,60.9253,53.9892,95.9799,46.374,56.8445,30.1815,20.5154,41.7763,189.1439,45.5359,11.6794,33.6345,66.8579,13.1705,17.9556,54.6905,37.7675,124.8625,55.4757,50.6192,103.0461,33.5887,58.4911,75.0157,16.6628,94.7931,50.8836,31.3831,85.8133,10.1132,96.956,72.7574,43.2637,76.0543,43.8345,114.9077,60.6917,43.7741,36.6462,55.2356,37.8931,29.9722
708,176.507,65.3297,62.7514,71.7616,63.5274,113.222,94.5225,43.9523,85.0969,17.4426,38.5115,134.8815,358.1979,36.8174,78.7892,72.1062,33.6317,115.0121,60.9045,54.0917,96.426,46.1599,56.8267,30.2784,20.5331,41.5796,190.2202,45.5417,11.6973,33.5276,67.0546,13.1078,17.9448,54.7674,37.7538,124.9789,55.3052,50.8758,103.3953,33.7538,58.7008,75.3094,16.6543,95.1536,51.2695,31.1573,86.1308,10.0974,96.7242,72.6151,43.3964,75.7873,43.8921,114.8037,60.8479,43.8233,36.8343,55.2644,37.9616,29.9408
709,177.427,65.2738,62.8674,71.6834,63.6823,113.181,94.8156,43.8665,85.6142,17.4717,38.633,134.3398,362.9707,36.7287,78.717,71.9696,33.7166,115.067,61.074,54.1732,97.3792,46.3576,56.7858,30.3907,20.684,41.8688,190.0629,45.6123,11.7141,33.7077,66.9463,13.1166,17.7429,55.0194,37.8936,125.3809,55.3538,50.9726,103.3341,34.1838,58.5846,75.1485,16.7181,95.5707,51.5126,30.9061,86.5159,10.1454,96.6312,72.7411,43.5444,76.0597,43.9609,114.7613,60.74,43.8927,36.794,55.2639,38.0833,30.0112
