,T,CTL,FTR,VZ
238,33.9667,30.3627,73.061,48.4157
239,33.7931,30.0547,72.2858,48.3884
240,33.4691,29.8065,72.9356,47.5065
241,33.3799,29.6019,73.7147,47.3106
242,33.3189,29.2218,73.4106,47.2597
243,30.9887,27.6749,72.8833,44.4607
244,33.5357,29.5481,72.3606,47.9622
245,33.6135,29.013,73.2978,48.0575
246,32.3717,27.208,72.829,45.9042
247,33.2514,28.9951,72.0421,47.7287
248,33.3199,28.9488,70.7907,47.9073
249,32.054,28.1036,67.9925,46.4101
250,32.0481,27.8889,67.7065,46.2193
251,32.0706,28.1558,65.8928,46.4243
252,31.963,28.2224,67.8855,46.6346
253,31.8605,28.5054,68.3204,46.1968
254,32.3675,30.977,68.1058,46.8491
255,32.9019,29.6322,68.5686,47.1563
256,33.0278,30.0476,69.0492,47.3321
257,33.2301,30.8082,68.8178,47.2636
258,33.1608,30.7758,69.9875,46.6102
259,32.8289,30.8272,70.6351,46.083
260,32.8513,30.9743,70.1166,46.2203
261,33.1569,31.052,70.7417,47.9853
262,32.9939,31.1925,69.9269,47.6116
263,32.573,31.298,69.8109,46.6593
264,32.2703,31.1828,74.9077,46.3945
265,32.1173,30.9038,74.5379,46.2333
266,32.0473,30.975,74.6528,47.0934
267,31.9961,31.248,73.8521,47.5048
268,31.801,31.0431,73.1677,46.9458
269,32.1262,31.4392,73.7105,47.9063
270,32.0916,31.8129,71.8483,47.6305
271,32.3069,31.8137,73.2201,47.8387
272,32.4775,31.2535,73.7175,47.1026
273,32.3925,30.8157,71.67,46.8162
274,32.2599,30.721,73.3507,46.5898
275,32.342,30.5448,73.522,46.3514
276,30.7157,28.477,73.7713,44.2364
277,32.4146,30.6486,74.8413,46.054
278,32.7612,30.9579,75.3594,46.3343
279,32.9455,31.2125,77.0322,46.566
280,32.3749,30.0808,77.8432,45.3524
281,33.8059,31.3725,80.3368,46.9137
282,33.2564,29.6237,67.4224,45.7645
283,34.5788,31.5656,81.1696,46.7409
284,34.6405,31.761,80.7831,47.0633
285,34.7327,32.2762,81.3395,47.2249
286,34.7779,32.4769,82.4052,47.133
287,34.9636,32.7182,84.491,47.5108
288,35.1949,32.862,85.4287,47.6172
289,34.9271,32.8215,83.9692,47.5487
290,35.3443,33.2148,84.1181,47.9445
291,35.5236,33.4474,84.7706,47.967
292,35.6584,33.698,83.6968,48.1125
293,35.6491,33.6126,82.764,47.9939
294,35.0786,33.7655,83.2159,47.9474
295,34.9135,33.7972,82.8882,47.8498
296,35.1819,33.6039,82.9903,47.7756
297,35.1505,33.3947,81.955,47.1972
298,35.2412,33.7532,83.2548,47.0786
299,35.5837,33.9529,83.9216,46.9532
300,35.9301,34.5326,87.0069,46.9626
301,36.0816,34.6253,88.1129,47.4954
302,36.0199,34.4684,88.7591,47.9066
303,36.3257,34.4365,87.4775,48.088
304,35.2619,34.5917,88.988,47.4233
305,34.6041,34.6393,88.239,46.4394
306,34.5063,34.8251,86.5398,45.9887
307,34.9517,34.6271,86.5387,46.4787
308,35.399,34.8291,87.7695,46.7213
309,35.6044,34.7849,88.1863,46.722
310,35.6142,34.8777,88.8918,46.9813
311,35.6309,34.9509,89.2788,47.1748
312,35.6326,34.8049,89.6822,47.242
313,36.137,34.86,90.0856,48.2514
314,35.7905,34.6823,87.4545,48.0518
315,36.4044,36.5877,88.9874,48.4595
316,36.3425,36.7027,90.2982,49.2559
317,36.4826,36.758,90.5576,48.2562
318,36.1561,36.8531,90.5367,47.8928
319,36.383,37.4873,90.3072,48.0617
320,36.5319,37.8833,89.0645,48.8682
321,36.7272,37.9807,87.6787,49.0118
322,36.1607,39.8561,89.2549,49.256
323,35.752,37.8754,88.2485,48.9131
324,35.366,37.2391,84.0161,49.2095
325,35.3776,37.1776,85.6961,49.4264
326,35.5108,37.2496,86.8981,49.5755
327,35.2142,37.2331,87.1517,49.6457
328,35.3638,37.7531,99.6438,49.7373
329,35.3213,37.7252,87.5172,49.651
330,35.4437,37.678,86.863,49.9025
331,35.4292,37.6636,85.9796,50.1189
332,35.2934,37.9184,87.0651,49.4039
