,Industrials,Health Care,Information Technology,Consumer Discretionary,Utilities,Financials,Materials,Consumer Staples,Real Estate,Energy,Telecommunications Services
312,85.23420000000002,92.8884017857143,67.55006333333334,97.91619873417721,58.66072857142858,63.54422666666667,89.33269130434782,69.18835757575758,85.02254666666666,85.2929294117647,103.87233999999998
313,85.99125538461539,93.54202857142857,67.84101166666666,97.83124683544304,59.33682857142857,63.83511833333333,90.1321304347826,69.93849393939394,85.70615666666664,86.75426764705882,104.4668
314,85.00228461538462,91.9462875,66.48893166666667,95.76979873417723,59.287332142857146,63.36245333333332,89.30595217391303,69.34353636363636,86.43943666666665,86.67607058823529,103.99582000000001
315,85.50996307692309,92.40832142857143,67.09308666666666,96.29476329113922,59.28626071428572,64.00421166666666,89.28752173913044,69.60103030303031,85.88712666666669,86.14868235294117,105.08779999999999
316,85.03603384615384,92.29083928571428,66.91573333333332,96.27628101265825,58.73392857142857,63.71858000000001,88.87125652173913,69.78332121212121,86.12116,86.47746764705882,105.71986
317,86.38124307692308,94.33269642857142,68.00011833333333,97.89732025316457,58.07721071428572,64.51316333333334,89.89765217391303,70.28782424242425,86.30040000000001,85.94625,105.81088
318,87.13850307692307,94.62610892857143,68.42088666666668,98.05007974683544,58.17310714285715,64.75265499999999,90.15905217391305,70.26108787878788,87.16980666666664,86.86190882352942,105.88773999999998
319,86.49213384615386,94.27833392857143,67.85032166666669,96.96179240506328,58.408517857142854,63.939605,89.83106086956522,70.02387272727273,86.26853999999997,86.46462647058824,106.24784
320,85.08481692307693,93.31666249999999,67.02099666666668,95.48637341772152,58.298992857142856,62.90726,88.78828260869565,69.61780303030304,86.06900999999999,85.21829705882352,106.46958
321,85.15912461538461,93.47259999999999,67.12094166666667,96.00567468354431,58.19621071428571,62.939955000000005,88.95533478260869,70.04882424242423,86.58645666666666,85.01797941176471,106.47968
322,85.67259846153847,94.44858214285715,67.97945166666666,96.79101265822786,57.76845000000001,63.40901833333332,89.60235217391302,70.12148484848485,86.63398666666666,85.45500588235294,107.30554
323,85.02574,93.92977499999999,67.76245,95.47951645569621,57.67215714285715,63.06946666666666,89.33433043478261,69.82890606060607,86.79271,85.34309999999998,106.7578
324,85.37249384615384,94.58572500000001,68.12216333333335,97.1782253164557,57.84382499999999,63.641686666666665,89.64786086956524,69.90928484848486,86.26877,86.14058235294118,105.96614
325,85.85115846153846,95.22900178571429,68.56029,98.18339873417722,58.10888571428571,63.90676833333334,89.97803913043477,69.97153636363636,86.18013000000002,86.4256323529412,106.53554
326,86.26860923076923,95.48371071428572,69.03385166666666,98.7442088607595,58.209428571428575,64.03462,90.45628260869566,70.10058787878788,86.53701333333333,86.47213235294119,107.0468
327,86.84607846153845,96.14760892857144,69.75484333333334,99.10338607594937,58.51851071428571,64.62785,91.01449130434781,70.65757878787879,86.97107,86.48893529411765,107.24893999999999
328,86.97039230769231,96.51587500000001,69.84205,100.16930632911392,58.68689285714286,63.659904999999995,90.90609130434783,70.41865757575758,80.86268666666666,86.75672352941177,110.09959999999998
329,86.93609846153846,96.84962857142857,69.97209500000001,100.67669873417722,58.73676428571429,64.52115833333332,91.02823478260869,70.89051818181817,86.53826,87.28451764705882,107.84294
330,87.40676461538462,96.98236964285715,70.33439333333332,100.76456835443038,59.28169642857143,64.92225666666667,92.53870434782608,71.36331212121212,87.03284333333335,85.57617647058822,107.97744
331,87.4287323076923,97.03559821428573,69.9583,100.95058860759494,59.35977857142857,64.85159833333333,91.6190695652174,71.36303939393939,87.15306666666666,87.37072058823529,108.03826
332,87.35311692307693,97.49459642857143,69.90703166666665,100.6785493670886,59.40068571428572,65.03012500000001,91.56801739130435,71.18469090909092,87.20675,87.52700882352941,108.33616000000002
333,87.49867076923077,97.84667142857143,70.17011333333332,100.9183417721519,59.38575357142856,65.42046333333333,91.74132608695653,71.40225151515152,87.14545,87.87516176470588,108.60693999999998
334,88.18321692307693,98.14326964285715,70.38043666666667,100.5014493670886,59.81834285714285,65.75488,91.99720434782608,71.64054545454545,88.95007,88.12742352941177,108.25152
335,89.1232353846154,98.30705892857142,71.04397833333333,100.91004177215189,59.99152500000001,66.45304833333334,92.70581739130435,71.90855757575758,88.23126,88.97866470588237,109.95472
336,89.7531246153846,98.40416071428571,71.30174333333333,101.81282531645572,59.54553571428572,66.72873833333333,92.74546086956524,72.05838787878788,87.49894333333333,89.13132058823531,108.21178
337,89.37948461538463,97.9924625,71.24532,101.28831518987339,59.42364642857142,66.64083166666666,93.6135695652174,71.88021818181818,86.94516999999999,88.75654705882353,108.45252
338,88.95776461538462,98.14281607142857,71.63439333333334,101.39114303797467,58.99149285714287,66.46711833333333,93.57949565217389,72.21965454545453,86.61443333333334,89.17411176470587,108.34302
339,87.53644615384616,97.87423928571427,70.821675,100.81702025316453,58.80377142857143,66.14059833333333,92.20751304347824,71.47221515151514,86.60473333333331,89.8944205882353,108.4423
340,87.8301123076923,97.71533214285715,71.06314833333334,100.09043797468355,59.28426428571429,66.12106666666666,92.21589130434782,71.34116363636363,86.63314999999997,90.23491470588235,109.06986000000002
341,87.74962615384617,97.645875,71.15236666666668,100.27734936708859,59.83045357142857,66.08812833333333,92.19071304347825,71.45862727272727,86.79352333333334,91.20835294117649,109.48804
342,88.07018615384614,97.7032107142857,71.750325,100.81781012658227,59.64818214285714,66.70680166666666,92.8422260869565,71.51005454545455,87.04668,90.81216176470588,109.71148000000001
343,88.0841276923077,97.74514285714288,71.933645,100.98317341772152,60.47673571428571,66.93083,93.12148260869566,71.93261515151514,87.11730333333334,91.16518823529411,109.92934
