,AMT,AIV,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAC,MAA,PLD,PSA,REG,SPG,SLG,UDR,VTR,VNO,HCN,WY
1095,129.8744,44.1767,193.2505,126.7848,35.203,102.1432,114.3915,428.7968,67.0199,261.7458,74.9454,127.7909,23.9874,31.5898,18.7334,34.1464,19.3445,59.3068,107.8739,57.1382,207.4231,63.8618,158.7982,107.2973,39.5589,68.0596,94.9094,74.0936,33.7847
1096,130.987,44.5724,195.2565,126.7057,35.2935,102.017,117.8202,433.3832,67.2122,262.6891,75.257,127.4828,24.0122,32.1934,18.6218,34.2695,19.2638,58.9522,108.9399,57.7151,209.4017,63.5513,159.6601,106.4923,39.7593,68.9481,94.4422,74.8335,33.7595
1097,130.8294,44.6571,196.1485,127.0403,35.0863,101.5448,117.8307,433.1209,67.8073,263.8543,76.6435,128.2319,24.1796,32.1483,18.5515,34.5528,19.5557,58.9223,110.091,58.2578,211.6327,63.856,160.6722,106.1164,40.0279,69.0349,94.4687,74.7532,33.7166
1098,131.6917,44.4464,196.2701,126.5434,35.0531,101.2147,116.7758,428.0894,68.5207,265.6474,77.9146,125.7882,24.0958,32.4329,18.6893,34.3007,18.6354,57.7055,109.9372,58.2578,213.2417,61.8313,160.0127,105.75,40.1811,69.5046,93.7906,75.5405,33.6801
1099,132.4388,44.7235,196.6781,125.4764,35.5663,101.184,116.1203,430.196,68.3094,267.6925,78.0519,124.8606,24.0264,32.6494,19.023,34.6215,17.9926,57.5456,110.2188,58.4125,211.7686,60.2558,158.2854,105.1059,40.4868,69.3749,93.1878,75.8133,33.994
1100,131.3495,44.2941,194.7706,125.4322,35.5853,100.5642,117.1518,432.6567,68.0353,266.3891,77.7773,123.4827,23.7433,32.9871,18.9322,34.7366,17.6562,57.3853,109.5072,57.7113,209.8438,59.6683,158.9424,105.0176,40.1278,69.9672,93.0654,76.6681,33.9505
1101,130.6697,44.0487,194.0508,125.2266,35.2573,99.5495,118.5196,432.8554,67.7664,265.9848,78.0897,123.3709,23.6657,33.0458,18.6905,34.1769,17.6186,57.0932,109.8477,57.9159,212.3692,59.9534,158.7084,106.8928,40.0237,70.4814,92.6677,76.9196,33.7748
1102,131.0257,43.8423,193.9348,124.9986,35.2074,99.895,120.0071,439.9513,67.0144,264.3003,77.3571,123.7241,23.3712,33.1691,18.6524,34.0829,17.684,56.8411,109.4024,57.6872,211.2554,60.032,158.6899,106.7617,39.6645,71.1495,93.4935,77.3932,33.8741
1103,131.6264,43.8392,194.118,125.4904,35.2462,99.8565,120.7739,435.8024,67.155,265.7064,78.587,125.3181,23.6674,33.4077,18.7199,34.4946,17.944,57.4733,109.2843,58.5873,213.3854,61.0496,159.2192,107.0441,39.6817,71.7079,94.1645,77.5511,34.1231
1104,132.1245,43.705,194.3432,125.8461,36.3267,99.763,120.2017,437.3971,67.1754,265.5037,78.716,127.9185,24.0336,33.4615,18.8852,34.7378,18.5695,58.545,108.7612,58.8814,213.0778,62.3034,160.9889,106.9311,39.7076,71.9388,94.597,77.6451,33.76
1105,135.4102,43.0792,193.7606,124.3616,36.4964,102.7469,117.9461,435.6043,66.6785,262.2645,78.566,127.6454,24.046,32.928,18.9451,34.5189,18.6383,58.8577,107.2819,58.9895,211.1587,62.3818,162.347,106.3079,39.3036,71.5125,94.313,76.7726,33.0487
1106,134.8168,42.8,192.3121,123.3441,37.0359,101.1942,115.4638,431.4033,66.34,260.0916,78.2249,128.1456,24.1317,32.7394,18.7099,34.7234,18.8664,59.5956,106.5265,58.9658,210.0066,63.1727,163.8899,105.8868,39.0936,71.1558,93.6829,76.6436,33.1205
1107,132.6068,42.5326,191.9082,123.3105,36.7483,99.8987,112.9435,421.195,66.2803,260.0621,77.6482,127.9177,23.9961,32.0602,18.5299,34.1924,18.8867,59.2924,105.6726,58.8798,207.9812,63.1769,163.7199,105.6419,39.1113,69.499,93.3135,74.8167,33.1681
1108,132.5627,42.9592,192.4833,123.062,36.4814,100.1578,113.0564,427.7079,66.0793,258.4823,77.787,126.6564,23.5506,31.9832,18.2922,34.333,18.3608,58.2072,105.4431,58.7274,208.5265,62.7717,161.7196,105.7612,39.0385,69.5507,93.6796,74.8691,33.4723
1109,131.3526,43.0682,193.7896,124.4468,36.8419,99.4143,112.8113,424.6849,66.2049,259.7857,78.3482,128.523,23.919,32.3342,18.7224,34.8615,18.7318,59.0978,105.639,58.975,211.6942,63.4904,164.3356,107.1554,39.1299,69.7381,95.144,75.5081,33.7076
1110,132.1327,43.7732,194.3726,123.3058,36.7843,98.8555,111.4139,423.5001,66.8581,260.7003,77.5328,126.8787,23.2625,32.2269,18.6811,34.5051,18.0167,57.8379,105.4753,58.6546,209.2574,62.9169,159.9118,106.2502,39.425,69.3029,94.4363,75.2009,33.1948
1111,131.6359,42.8036,189.5642,120.3879,36.4238,98.3357,109.5257,419.5266,65.1782,254.9034,76.3097,125.5781,22.6653,31.2933,18.4139,34.1035,17.9676,56.931,102.2944,57.6347,205.4469,61.8945,156.6448,103.1983,38.1746,67.7969,92.5882,73.4414,32.2644
1112,133.1125,42.7133,189.3875,120.2526,36.6008,99.3138,110.3955,423.4231,65.0198,255.8184,76.6429,126.1853,22.7079,31.1701,18.3142,34.3724,18.3235,57.2645,102.3619,57.6677,206.9067,62.2914,156.4043,102.4715,38.2173,67.35,93.7843,72.8028,32.0366
1113,131.7055,42.7113,187.615,118.4135,36.7614,99.2205,110.3197,426.5218,64.8247,253.933,75.4042,125.2669,22.6331,31.0041,18.0679,33.6871,18.391,57.1095,101.0715,57.434,204.3537,61.6938,155.8047,101.2926,38.0192,67.2609,94.1073,72.7611,32.1811
1114,131.1269,42.2666,186.0435,117.608,36.5992,98.5014,109.6792,429.5535,64.3578,251.7534,74.1292,124.4362,22.2844,30.929,17.966,33.2357,18.2398,56.5675,99.7127,56.9297,203.3364,61.3958,153.96,99.7053,37.6446,66.8596,94.0487,72.5484,32.4486
1115,133.6829,42.8612,187.2332,119.1248,36.9371,100.127,111.7474,437.7921,64.9808,253.8823,75.371,125.9018,22.6225,31.4936,18.0352,33.981,18.3891,57.2471,99.8467,57.7321,205.9218,62.3627,156.4417,100.5846,38.0512,67.9522,95.4334,73.6674,32.9446
1116,134.078,42.7683,186.8468,120.2205,36.9685,100.2828,112.4172,436.0504,65.0096,252.7012,75.6082,126.4455,22.9114,31.3874,18.1043,33.9747,18.6696,57.5227,99.5744,57.5653,205.3037,62.4246,157.8944,102.7903,37.8277,67.5975,95.7254,73.3572,32.7279
1117,135.8329,43.1943,187.7568,121.7402,37.0897,100.9863,112.7754,438.7283,65.4384,253.5095,76.6019,128.1106,23.5013,31.7063,18.1608,34.6434,18.9169,58.5082,100.4216,58.0801,207.5602,63.4861,160.1462,104.6453,38.1232,68.0594,96.1156,73.7494,33.0706
1118,135.2173,43.5091,189.4174,121.7179,37.0374,97.79,112.5131,435.3751,66.0729,255.8456,77.1387,128.8103,23.7041,31.9517,18.497,34.6547,18.9468,59.0476,101.111,58.4731,208.005,63.9617,161.925,105.0702,38.4633,68.6636,96.7717,73.8853,33.3243
1119,136.5983,43.4223,188.9568,119.574,37.0889,96.6104,112.7987,436.273,66.1257,258.1692,77.4031,128.608,23.4941,32.0954,18.5646,34.7086,18.933,58.5448,101.1113,59.7862,206.8589,63.6672,160.5654,103.6865,38.5996,68.7368,78.0616,74.0365,33.1805
1120,135.5115,43.5779,189.7239,119.9896,37.6951,96.5256,112.4063,440.487,66.8847,262.164,78.3359,129.4794,23.629,32.1565,18.611,34.885,19.0375,58.6049,101.2631,60.0755,207.7635,64.2399,160.1147,104.5407,38.9705,68.5148,79.813,74.0346,33.7266
1121,136.7764,43.9327,190.8476,119.3439,37.9145,97.7752,112.4361,441.1065,67.3778,264.7222,78.4199,130.1948,23.6362,31.9549,18.2383,34.8787,19.073,58.8302,101.4641,59.6231,207.6671,64.5485,161.0317,101.5439,39.2939,68.6311,79.5301,74.0652,34.1173
1122,136.5983,44.0527,190.5504,118.7854,37.8294,98.3306,112.3475,442.0879,67.0227,264.5575,78.7256,130.1804,23.2655,31.5544,17.8414,34.9351,18.8808,58.5536,101.0197,59.0705,208.2236,64.1539,160.0931,101.9365,39.2957,68.4662,78.7377,73.8389,34.2325
1123,137.1755,43.8417,189.6531,119.114,38.1733,99.006,113.1178,441.2262,66.6214,263.2992,78.7252,130.8045,23.1368,31.4228,17.9396,34.8391,18.9389,58.4908,101.9426,59.9529,208.6574,64.2787,160.4908,102.0492,39.1726,67.9966,78.4524,73.1347,34.1555
1124,136.5125,43.4553,187.5321,118.9909,38.4564,99.1638,112.5323,437.4213,65.8707,261.3491,78.9858,131.5319,23.2877,31.4881,18.2883,34.8739,19.5033,59.0118,101.5047,60.1013,207.5382,64.6922,161.2691,102.0131,38.7301,67.595,78.129,72.8582,34.0897
