,AES,LNT,AEE,AEP,AWK,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SCG,SRE,SO,WEC,XEL
849,11.9751,39.088,51.4225,66.9076,78.1424,23.4756,43.7308,77.2769,74.2934,94.1532,82.1522,74.3252,78.1064,34.7153,33.6457,124.5153,25.3141,14.3262,62.6891,77.6115,39.7266,44.4017,71.6583,110.4595,51.0363,63.0552,42.921
850,11.9934,38.793,51.2821,66.5905,78.2715,23.3307,43.6585,77.1711,73.9293,93.7592,81.9278,73.977,77.9956,34.5542,33.1726,123.8284,25.2795,14.1366,62.2554,77.2331,39.4304,44.1922,71.5143,109.7189,50.8768,62.9341,42.7487
851,12.0843,38.7365,51.2953,66.42,78.6121,23.3327,43.5025,76.6541,73.7496,93.744,81.7401,73.6985,77.9399,34.6997,33.0104,123.5522,25.1782,14.4305,62.0945,77.0519,39.3438,44.0495,71.2184,110.4966,50.8519,62.6067,42.5992
852,11.8576,39.2752,51.855,67.3621,79.9357,23.3624,44.3447,78.262,74.2661,95.6601,82.6346,74.6532,78.2657,34.619,33.0757,123.9009,25.2918,14.0459,62.7187,78.0318,37.5867,44.2115,72.3256,110.778,51.2955,63.486,43.3307
853,11.4308,39.6691,52.2028,68.0493,81.2724,23.1971,44.7447,79.5948,74.5913,96.2111,83.6035,75.9236,78.5901,34.407,32.9545,126.885,25.3695,13.425,62.8933,78.9328,36.6314,44.384,73.1603,110.9393,51.9957,64.1499,43.5662
854,11.5588,39.6407,52.2032,68.2959,81.8316,23.4391,44.7118,78.9194,75.8607,96.3877,83.7162,75.6374,78.8067,34.7223,33.5148,127.9662,25.4872,14.0025,62.3446,78.9528,36.6153,44.2634,73.5433,110.2115,52.2073,64.0497,43.5996
855,11.9895,39.8626,52.391,68.6511,82.3842,23.901,44.9163,78.933,76.2948,97.0408,84.0024,76.0941,78.8897,35.0257,34.1404,127.7691,25.8442,14.6521,62.5653,79.157,36.8877,45.0822,73.9782,111.0475,52.1973,64.0954,43.801
856,12.3216,39.7327,53.3148,69.6383,83.9315,23.9673,45.5498,79.9101,77.4379,98.5134,85.043,76.9665,80.6882,35.9532,34.62,129.3427,26.372,14.8596,63.5624,80.4889,37.6007,46.1536,75.2504,113.334,53.0597,64.7314,44.4787
857,12.3385,40.2571,53.588,70.0129,83.9725,24.054,45.6106,80.2787,77.7194,99.1255,85.4426,77.3375,81.3063,36.2961,35.0806,129.6121,26.5862,15.1125,63.8626,80.8845,37.5626,46.388,75.4927,113.3291,53.6376,65.0188,44.6826
858,12.1457,40.7579,53.7599,70.7011,84.6775,24.0135,46.0126,81.5689,78.2926,99.9368,86.5541,78.3497,81.6417,36.1951,35.1211,130.7348,26.7754,14.4526,64.7414,82.273,37.6254,46.5367,75.9986,113.6049,54.2177,65.8438,45.1293
859,12.1613,40.6757,53.5159,70.9442,83.8552,23.9828,45.9883,81.1689,78.5437,99.8623,86.8767,78.0723,81.7009,36.4494,35.4408,130.5183,26.6321,14.5302,65.1456,82.2405,37.1506,46.6095,75.9729,114.2812,54.2744,65.4693,45.1762
860,12.0856,39.9854,52.7733,70.3906,82.6968,23.6747,45.4653,80.1337,77.679,98.5102,85.5364,77.094,80.6373,35.8867,35.2983,128.5137,26.2109,14.5845,64.4589,81.2309,37.0621,45.7719,74.5042,113.1665,53.7552,64.5902,44.4863
861,12.2315,40.1412,52.7561,70.3377,82.8124,23.7496,45.2375,80.0575,77.8085,98.4983,85.4643,77.4628,80.5275,35.9207,35.7631,128.9938,26.0008,14.964,64.3339,80.9079,37.3073,45.8356,74.6071,113.6877,53.7515,64.5481,44.2162
862,12.4632,40.3207,52.852,70.4603,82.6954,23.7958,45.309,80.1143,77.9531,98.751,85.7528,77.7167,80.8124,36.1917,35.9689,129.3988,26.0098,15.2147,64.44,80.8579,37.5323,45.8544,74.7143,113.9737,53.7606,64.6968,44.2543
863,12.536,39.6194,52.5846,69.9395,81.5913,23.763,44.7836,79.0739,77.5324,97.8896,84.9202,76.8726,81.1251,36.4918,36.2446,127.9571,25.8489,15.8108,63.9648,79.7067,37.4258,45.5281,73.8106,113.4324,53.0978,63.9243,43.6955
864,12.5398,39.6179,52.7846,69.8675,81.9689,23.8418,44.9243,79.2772,77.69,98.1161,84.8623,77.0588,80.9781,36.5384,36.3457,127.9323,26.0275,15.739,64.3124,79.9583,37.4078,45.8071,74.0474,113.9256,53.0369,64.0537,43.898
865,12.5212,39.384,52.2813,69.4055,81.6168,23.7293,44.7087,79.0444,77.1713,97.1973,84.6496,76.896,79.8189,36.419,35.9766,127.0818,25.9407,15.5398,64.1966,79.4209,37.1784,45.6473,73.7802,112.9191,53.4399,64.007,43.6013
866,12.6091,39.4097,52.4587,69.5006,81.721,24.0111,44.8172,79.0244,77.4516,97.4758,84.8547,77.1365,80.1757,36.4753,36.1057,127.5314,26.0567,15.4732,64.5282,79.5045,37.1228,45.8288,73.5089,112.9434,53.5361,63.9362,43.7542
867,12.5631,39.5639,52.5456,69.9669,81.5256,23.9603,44.9432,79.137,77.8355,98.0432,85.288,77.3219,80.4554,36.6975,36.2776,128.2904,26.1609,15.4548,64.7151,79.86,37.3482,45.931,73.8964,113.0981,53.691,64.266,43.8753
868,12.4755,39.546,52.3034,69.5882,81.539,23.9088,44.9285,78.9763,77.6837,97.8584,85.1379,77.0427,80.2177,36.5253,36.097,127.833,26.058,14.7633,64.3571,79.5195,37.1488,45.6794,73.7162,112.4363,53.599,64.097,43.7685
869,12.5243,39.531,52.172,69.3717,81.5957,23.9743,44.8363,78.8182,77.3702,97.566,84.8656,76.5943,80.014,36.3281,36.0358,127.3881,25.8776,14.5419,64.1986,79.2021,36.979,45.4592,73.5396,112.1129,53.3335,63.9921,43.6114
870,12.5787,39.5842,51.9946,68.9812,80.9135,24.1583,44.9398,79.4355,77.2607,97.9166,84.9733,76.4421,79.8945,36.426,35.8957,127.6464,25.7998,14.6868,64.0737,79.3204,36.9845,45.711,73.9125,112.2455,53.5935,64.3785,43.6425
871,12.6255,40.2444,52.7022,70.0086,82.499,24.5835,45.459,80.8884,78.3365,99.3534,86.2211,77.3373,81.3426,37.2564,36.4813,129.46,26.1884,14.7431,64.6774,80.4339,37.5676,46.4392,74.9188,113.6136,54.3985,65.2294,44.2264
872,12.6609,40.2907,52.6053,69.6807,82.6402,24.4676,45.4561,81.0125,78.3334,98.7991,86.4563,77.307,81.2848,37.3733,36.5207,129.2627,25.9663,14.8425,64.65,80.2893,37.433,46.308,74.4337,112.7522,54.4144,65.228,44.187
873,12.602,40.1323,52.2261,69.6335,82.3803,24.3487,45.0943,80.4711,77.6583,98.2327,85.8722,76.9263,80.9049,37.1809,36.0265,128.6302,25.7641,14.808,64.3304,79.5775,37.2597,45.8343,73.9211,112.4117,54.3999,64.7706,43.8596
