,MO,ADM,BF.B,CPB,CHD,KO,CL,CAG,STZ,COST,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA
59,36.6751,33.5607,35.3311,46.4404,31.9578,41.9403,60.2758,35.0347,49.6124,108.8883,58.7412,48.5376,69.8336,50.3616,20.982,103.0723,63.2802,104.5552,17.2902,72.4994,50.6078,31.4682,18.6272,82.5102,95.3025,77.8595,34.966,85.4663,89.218,24.5909,78.2847,48.8665
60,36.6419,34.071,35.6587,46.7493,31.9668,42.2285,60.5444,35.5552,50.0831,109.9682,58.8245,49.1239,70.9934,50.6437,20.9116,103.5364,63.3831,105.0423,17.4288,72.5401,51.1941,31.6719,19.1336,82.889,94.5901,78.1687,34.8582,86.0411,89.4661,24.9518,79.18,48.1882
61,36.1202,33.8617,35.2911,46.4024,31.5368,42.0684,60.164,35.4879,50.1092,109.3946,57.8938,49.2628,70.3071,49.7944,20.6461,102.5054,63.4901,104.3559,17.2778,72.3329,50.8154,31.3553,18.7635,82.4769,93.2363,77.738,34.2445,85.4077,88.7078,23.8526,78.9418,47.9891
62,36.3535,34.1652,35.4903,46.5831,31.6244,42.453,60.0823,35.646,50.2906,109.3333,58.3579,49.3498,70.1885,50.3993,20.8416,103.4532,63.935,104.5732,17.42,72.8608,49.8935,31.3042,18.946,82.9212,93.4274,77.6116,34.3656,86.0526,89.1302,24.4961,78.9582,48.8921
63,36.507,34.2193,35.5022,46.4511,31.7036,42.3454,60.1388,35.5398,50.035,109.6868,58.451,49.2678,70.1805,49.9833,20.7071,103.6194,64.12,104.2082,17.4287,72.8013,50.0729,30.98,18.1889,83.0717,94.1698,77.9703,34.325,85.7315,88.7654,25.0123,78.214,49.1894
64,36.4147,34.0748,35.2842,46.2072,31.5924,42.2328,60.1107,35.2029,49.0464,109.4162,57.534,48.7613,69.4844,49.7328,20.6538,102.6194,63.9373,103.3977,17.2836,72.8796,49.4184,30.7424,17.6349,82.971,93.764,78.403,34.1986,85.76,88.1013,25.0111,78.2881,48.1733
65,36.6014,33.9618,35.2483,46.185,31.7152,42.0425,60.2608,34.8877,49.1473,109.7576,57.7207,48.8509,70.4248,49.7859,20.7351,103.2985,64.2342,103.0774,17.219,73.0109,49.8411,30.568,17.9097,82.9332,93.3021,78.5648,34.224,86.0296,87.7397,24.7363,78.6859,48.5698
66,36.8613,33.961,35.2506,46.4262,31.7585,42.2349,60.4328,35.3313,49.3059,110.0089,58.4894,48.9405,70.8282,49.9622,20.9317,103.8413,64.3113,103.6606,16.9896,73.5933,50.061,30.6663,17.9211,83.0027,93.9649,78.6986,34.323,86.3163,88.4532,24.5632,78.3655,49.0686
67,36.9804,33.9102,35.8561,47.3473,32.0861,42.4925,61.3056,35.5754,49.8109,110.9332,59.504,49.0746,71.5436,50.5293,21.3266,104.492,65.0887,104.7402,17.2675,74.5563,50.7205,31.1423,18.6759,83.3309,94.8033,79.1137,34.6687,87.6397,89.5808,24.97,78.3837,49.6007
68,37.4089,34.6132,36.3987,47.963,32.2643,42.8234,62.0667,36.0171,50.2709,112.296,60.1258,49.8388,71.7417,50.6658,21.4812,103.792,65.6234,104.6149,17.5674,74.6758,50.9543,31.3902,19.069,84.0036,95.8293,80.5635,35.1047,87.7692,89.9511,25.0045,79.5392,50.0889
69,37.3425,34.2898,36.609,48.0641,32.0715,43.2339,62.3838,35.9606,52.0048,111.7678,59.519,49.6228,71.0029,50.7263,21.4223,103.6492,66.0625,103.9238,17.5875,74.7507,52.6695,31.4787,19.2904,84.2246,95.7478,80.3131,35.0132,87.634,90.0688,25.0434,78.2113,49.3382
70,37.2809,34.5878,36.3841,47.494,32.0409,42.8075,61.9936,35.8244,51.8943,112.4748,59.3327,49.1683,70.7912,50.1922,21.3305,102.4342,65.448,104.0684,17.617,74.5558,52.9661,31.3988,18.9168,83.5216,95.5115,79.799,35.015,87.0983,89.729,24.9307,77.8451,49.3383
71,37.349,34.5876,36.099,46.6406,31.6045,42.5144,61.6949,35.833,51.648,112.4174,59.0016,48.9206,71.2434,49.6029,21.2971,102.1544,65.1108,103.1687,17.4528,74.5055,52.8783,30.9939,18.7628,82.9061,95.098,79.198,34.9564,86.7842,89.2754,24.8442,77.6167,49.7281
72,37.0289,34.6003,35.8778,45.8291,31.4519,42.3293,61.6501,35.6105,51.8906,113.1536,59.3658,48.4323,71.231,49.2392,21.289,102.0438,65.2544,102.0897,17.4034,74.3606,52.5413,30.8802,18.8113,82.5337,94.2246,78.8195,34.9833,86.1884,88.5384,25.217,77.526,49.9678
73,37.064,34.4762,35.8801,46.069,31.3112,42.3947,61.6039,35.4078,51.7283,113.8422,59.1666,48.3057,70.8738,49.2491,21.2677,102.6983,65.1555,102.2792,17.2697,74.3643,52.1255,31.6867,19.2115,83.1529,94.4241,79.0561,35.1365,86.3649,89.1728,25.3804,77.1837,50.615
74,36.7633,33.965,35.5524,45.663,31.1664,41.8886,61.0502,34.715,51.4889,112.8829,58.277,47.7051,70.2891,48.6785,20.7491,102.1174,64.7051,102.5386,17.0369,73.6816,51.2732,31.2111,18.8544,82.0326,94.07,78.7054,34.5566,85.9618,89.0298,24.9252,76.4704,50.2703
75,36.8699,33.9086,35.5511,45.5593,31.1962,42.0444,60.9571,34.6844,52.632,114.0612,58.8747,47.9503,70.8172,48.7764,20.7348,102.8314,64.3061,103.4188,17.0678,73.6111,51.5987,30.8933,18.6492,82.3436,93.9073,81.8114,34.7364,86.3742,88.9712,24.7847,77.0343,50.4564
76,37.1116,34.147,35.766,45.9558,31.5317,42.6299,61.7471,35.0261,53.5828,114.8048,60.2902,48.5847,71.7942,49.1075,20.9426,104.5311,64.9077,104.4933,17.3099,73.9419,51.8339,31.4314,18.5885,82.6704,93.7931,81.2744,35.0659,87.1065,90.0697,24.8816,77.5096,50.5463
77,36.4754,33.562,35.403,44.8096,30.8981,41.6358,59.957,34.5139,53.5027,113.4621,59.328,47.5998,69.546,48.2499,20.5221,103.3782,63.7424,100.5446,17.2109,72.1934,51.1886,30.5227,18.2817,81.3071,91.9131,79.2144,34.189,85.1624,89.6825,25.3831,76.3349,49.6304
78,36.5156,33.4398,35.5456,44.2332,30.9449,41.0406,59.6877,34.4044,54.2477,113.4934,59.0423,47.2173,69.7192,48.0487,20.3809,102.8486,63.2407,100.4881,17.2451,71.5035,51.1899,29.8672,18.3413,81.0597,92.4881,79.3286,34.2272,85.0973,90.5713,25.5888,75.9681,49.3109
79,36.2743,32.5815,34.6628,43.2273,30.4969,40.2855,58.4145,33.9647,53.4149,110.9654,58.2044,46.3478,68.4736,47.3928,20.041,101.6724,62.3932,97.9189,16.9676,69.7227,49.9051,29.5735,18.3165,81.0769,91.7075,77.3435,33.944,83.5847,89.5967,25.1603,75.1335,48.3697
80,36.1214,32.4223,34.2,42.9263,30.1915,40.3765,58.2345,33.3109,52.7591,109.731,57.9547,46.3481,67.1331,47.0187,19.7967,101.5011,62.1438,96.3748,16.7885,69.2424,49.4076,29.487,18.0138,80.877,91.8461,77.124,33.7056,82.888,88.2447,24.7322,75.4418,47.85
81,36.3028,32.935,34.3322,43.3787,30.2113,41.3254,58.7171,33.5777,52.3115,110.7859,57.7155,46.7826,67.5789,47.7752,19.9349,102.5955,62.9488,97.2898,17.0351,69.5289,50.117,29.6395,19.2964,81.5613,92.0241,77.4366,34.1082,83.8666,88.7393,25.0844,75.9261,48.2701
82,35.837,32.656,34.2157,43.1394,29.9533,40.8683,58.2391,33.1941,52.1084,109.4996,57.2875,46.5552,66.9529,47.3933,19.648,102.4717,62.123,96.1137,16.5918,69.0471,50.1887,29.4659,19.9143,81.1449,90.8577,76.8757,33.6622,83.5647,88.3447,24.8715,75.4858,48.8526
83,35.5875,32.5144,34.3267,43.0179,29.9384,40.5981,57.6951,32.9808,51.806,110.3951,57.3554,45.9642,65.9419,47.3127,19.3721,98.5069,61.8519,95.5028,16.5211,69.188,49.4259,29.284,19.791,81.2179,90.7439,76.4382,33.3215,83.3994,87.499,24.718,75.418,48.2072
84,36.0854,32.982,34.9529,44.2704,30.4727,41.3872,58.8584,33.6421,53.2193,110.9114,58.2766,46.3788,68.0244,47.802,19.7164,101.0884,62.8997,97.1621,17.0975,70.533,50.3838,29.7304,20.4489,82.0559,92.0945,77.7318,33.7429,84.3357,89.0526,25.0231,76.5017,49.223
85,36.2421,33.0565,34.8717,44.108,30.5629,41.2125,58.9145,33.7977,52.8834,110.3277,58.7938,46.7613,67.8002,48.0525,19.8055,100.2215,63.023,97.1983,17.3826,70.5865,50.8457,29.8063,20.632,82.6901,91.7555,77.7801,33.9938,84.4226,88.0983,25.4224,76.0093,49.6955
86,36.1897,33.0874,35.08,44.066,30.4569,40.7533,58.7371,34.0751,52.4211,110.256,58.6802,46.6853,67.7284,48.3703,19.8243,100.1978,63.0511,97.811,17.4064,70.9334,50.665,29.7435,20.5798,82.3954,91.5865,78.2111,34.1542,84.6376,88.1535,25.5253,75.3495,49.567
87,35.7835,32.9522,34.6496,44.1615,30.5423,40.5081,58.4206,33.9094,51.561,109.763,58.6455,46.8781,67.8827,48.5727,19.7878,100.87,62.9922,97.4346,17.2257,71.3942,50.0475,29.6816,20.6928,82.4528,91.73,77.8027,34.2705,84.6054,87.9831,25.6203,74.9807,49.5303
88,35.7332,33.19,34.9173,44.2643,30.6002,40.0504,58.3063,34.0709,51.7878,110.2749,58.9666,46.6223,67.7614,48.7285,19.8434,101.7504,63.7204,97.4365,17.4014,71.7614,49.6039,29.6615,20.6173,81.8956,92.2439,78.0161,34.3696,85.0355,87.5387,25.6583,75.0324,49.7839
89,35.6769,33.2643,35.0951,44.7727,30.6402,40.4639,58.7187,34.1328,51.887,110.9911,59.3018,47.0216,68.1005,49.2726,20.018,102.8205,64.508,98.069,17.4821,72.1753,49.6886,29.8524,19.9803,82.319,92.4063,78.1124,34.49,85.3852,88.9518,25.5626,74.9727,50.3724
90,35.8356,33.2973,35.3216,45.0806,30.9869,40.7209,59.6488,34.5151,52.3967,111.8385,59.287,47.1198,70.077,49.7145,20.3351,103.3102,64.7562,99.1832,17.5965,72.7866,50.1723,30.3093,20.0563,82.5886,92.4914,79.0403,34.7175,86.2134,89.7124,25.6662,75.0587,50.3414
91,36.073,33.6844,35.2867,45.5346,30.8766,40.8714,59.7011,34.4562,52.3599,111.7064,59.7305,47.3071,69.5102,49.8203,19.4575,103.7224,64.7466,99.2749,17.7013,73.1853,49.8806,30.4631,19.9041,82.4224,92.5288,78.9884,34.6031,85.9123,89.6096,25.801,75.5296,50.8267
92,35.6876,33.7163,34.998,45.3906,30.5652,41.04,58.7134,34.0324,52.1523,111.4805,59.7595,47.154,69.2876,49.5906,19.6098,102.9695,64.3464,97.8266,17.701,72.9803,50.0099,30.0016,19.7891,81.9603,91.6006,78.5952,34.4336,85.0162,89.167,25.7792,75.0257,50.7021
