,ACN,ATVI,ADBE,AKAM,ADS,GOOGL,APH,ADI,AAPL,AMAT,ADSK,ADP,AVGO,CA,CSCO,CTXS,CTSH,GLW,EBAY,EA,FFIV,FB,FIS,FSLR,FISV,FLIR,GPN,HRS,INTC,IBM,INTU,JNPR,KLAC,LRCX,MA,MCHP,MU,MSFT,MSI,NTAP,NFLX,NVDA,PAYX,QCOM,RHT,CRM,STX,SWKS,SYMC,TEL,TDC,TXN,TSS,VRSN,V,WDC,WU,XRX,XLNX
535,89.9728,23.235,75.709,72.9352,294.2531,577.664,59.1951,60.3444,127.2439,24.0338,61.1443,87.2095,133.9718,33.0738,28.1553,63.9376,63.1522,23.4813,59.3475,58.0258,115.0175,85.4494,68.2661,62.4016,79.7931,31.6144,45.7306,72.0724,30.9701,163.3931,100.2309,23.5298,63.2479,79.0284,89.6732,49.8884,28.0706,43.0184,66.5084,36.1107,62.5693,22.4699,51.3782,69.3424,69.8447,67.4431,55.663,101.5936,24.2727,72.5954,43.9291,58.6147,38.7906,66.4037,67.1703,98.5317,19.7804,53.0448,41.2385
536,88.7823,22.8426,73.7817,71.1311,292.7269,573.1227,58.0706,58.6887,124.8484,23.1073,59.7859,85.4834,126.627,32.2812,27.7081,63.1478,61.8517,23.0422,58.4025,56.6851,113.7669,83.9334,67.8129,60.8455,78.3646,31.022,45.1971,71.0963,30.1465,160.1408,98.177,22.9638,60.2927,74.3236,88.1318,48.4749,26.909,41.8772,65.6191,35.7898,61.0248,21.3753,49.6465,67.8038,68.2152,66.0527,54.2747,96.2809,23.5626,71.088,43.0104,56.8514,38.3121,65.3735,66.3793,95.8487,19.5599,52.0817,40.1058
537,93.9024,22.4705,72.8012,70.4604,290.7489,563.1753,57.3265,57.3561,124.073,22.4312,58.9021,84.453,122.9379,31.8141,27.0272,63.222,62.1754,22.4406,57.5631,55.7992,112.1985,82.9029,67.2985,59.6673,78.2444,30.8377,44.8911,72.1029,29.9577,160.5323,97.0387,22.3099,58.4238,71.186,87.7523,48.0112,26.4914,41.263,65.2937,35.4594,59.8585,20.8727,48.9871,66.7713,74.8857,65.9065,53.3935,91.4402,23.2106,70.3116,42.5328,55.7212,37.9175,64.8903,65.7442,93.1495,19.4122,51.428,39.8159
538,93.5633,22.692,73.1451,71.1296,294.4703,559.3838,57.5702,57.9626,123.6159,22.619,58.8403,84.5978,126.9802,32.1615,27.1333,63.5079,62.8705,22.6557,57.7078,57.772,113.5372,83.373,67.0692,59.4569,78.3819,31.0521,44.9913,75.8258,31.2953,160.0916,96.8422,22.284,58.7566,71.7315,87.3123,48.672,26.4509,41.0005,65.1557,35.1142,59.1709,21.1637,49.4507,67.184,75.9259,66.3574,52.8909,96.8581,23.2721,70.4141,42.53,56.3178,37.7838,66.1641,65.4609,92.8516,19.6057,50.5109,41.5205
539,94.3168,23.037,73.5592,71.7182,299.8182,560.3643,58.5899,64.103,125.5202,22.8175,59.1132,85.8665,129.9015,32.6898,27.5577,64.1201,63.3309,23.1376,57.9271,59.6261,114.4765,83.2289,68.2459,60.61,79.5847,31.4809,45.4855,77.5018,31.6099,162.7145,98.3542,22.4497,59.4817,72.2077,87.8482,49.8189,26.6859,41.1731,66.1672,35.2899,60.0407,21.4164,49.9927,68.5519,76.8536,66.8119,53.0055,100.0984,23.522,71.6813,43.3224,57.7553,38.2053,66.7609,65.7366,92.9136,20.2724,51.417,42.3932
540,93.966,22.7548,74.0988,71.3632,298.2454,557.9911,58.9215,63.4174,125.1794,22.5884,58.9758,85.85,127.7233,32.6594,27.5481,64.0236,62.6572,22.7772,57.9422,58.8962,114.9438,82.8246,68.1949,59.9657,79.5062,31.2935,45.8674,78.9111,31.4886,161.2843,97.6212,22.5744,58.5096,70.0854,87.0501,49.0136,26.9738,40.7365,66.6074,35.478,59.9673,21.0794,49.7697,69.2478,75.9677,67.1703,52.1692,98.867,23.4233,71.7247,44.1865,57.3104,38.2226,67.0888,65.6998,91.2383,20.722,51.5054,42.2033
541,93.3167,22.4703,74.454,70.2215,293.3878,551.2071,58.1305,62.655,124.0158,22.3693,58.4747,84.9787,124.8994,31.8402,27.2695,62.9753,61.8365,22.3045,57.0972,57.6476,114.2427,81.4875,67.5524,60.5369,79.2705,31.1037,45.6861,78.2491,30.8763,159.0187,97.1417,22.4645,57.6457,70.2755,86.2252,48.2435,27.1292,40.5972,66.4943,35.1891,59.0019,20.9343,49.2746,69.2277,75.288,66.0817,51.6141,96.4849,23.2332,70.9815,43.7931,56.5635,37.8361,66.3889,65.0311,91.7012,20.5456,50.9227,41.9531
542,94.0298,22.6352,75.6526,70.7343,293.2899,542.4065,58.7394,62.446,124.8697,22.3788,59.747,85.9906,125.3447,32.0438,27.2676,62.3648,62.3593,22.3267,56.9392,57.6576,113.8283,81.9922,68.1474,61.4158,79.6561,31.0451,45.9994,78.6692,30.9665,160.2674,98.322,22.5912,58.2251,70.799,87.2985,48.312,27.1224,40.3309,63.0497,35.6846,59.2312,21.056,49.374,68.3359,75.0498,66.5199,52.4889,96.6235,23.5297,70.9228,43.9425,56.856,38.1452,66.4992,65.3141,92.5616,20.8985,51.0871,42.1614
543,95.3426,22.7013,76.2552,71.0499,295.9722,542.4847,58.9698,62.6523,126.761,22.0571,59.746,86.2754,125.6071,32.325,27.1393,62.8268,62.555,22.3796,56.6519,57.2971,111.8955,82.2125,68.1792,61.5797,79.8501,31.0027,46.3299,80.6276,31.0171,161.5976,98.1553,22.671,58.2052,71.9043,87.178,48.2343,27.1953,41.2473,61.7517,35.9393,59.7275,21.4901,49.3114,67.4835,75.3683,67.6919,52.6273,95.3513,23.8163,71.1572,44.5824,56.8438,38.1721,66.6867,65.2595,93.076,20.409,51.4272,42.0202
544,96.3868,22.8409,76.2709,71.3419,298.2817,547.5916,58.8737,63.2217,126.9929,22.0175,60.7799,86.2212,126.1237,32.3924,27.4145,63.7755,62.3923,22.0896,57.312,57.7611,113.2253,82.9231,67.971,61.9085,79.6067,31.2836,46.134,79.8774,31.3578,162.766,97.9332,23.3994,58.0343,71.9092,88.1383,48.9182,27.118,41.6715,61.9968,35.9101,60.4904,21.8934,49.2242,67.719,75.7443,68.8319,53.8123,96.8881,23.8476,71.1073,45.4108,57.1633,38.25,66.7649,65.9138,94.237,20.1578,51.9797,42.3349
