,MMM,AYI,ALK,AAL,AME,ARNC,BA,CHRW,CAT,CTAS,CSX,CMI,DE,DAL,DOV,DNB,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FLR,FBHS,GD,GE,GWW,HON,ITW,IR,JBHT,JEC,JCI,KSU,LLL,LMT,MAS,NLSN,NSC,NOC,PCAR,PH,PNR,PWR,RTN,RSG,RHI,ROK,COL,ROP,R,LUV,SRCL,TXT,TDG,UNP,UAL,UPS,URI,UTX,VRSK,WM,XYL
583,159.0956,178.6131,65.6766,43.6647,53.9322,37.9942,143.1432,61.9317,86.224,86.0607,34.2279,136.0358,92.8127,43.2599,75.8679,128.5063,72.2925,60.4188,98.5643,46.5063,42.061,175.6298,55.4863,57.2217,46.7826,140.4242,27.3384,241.8291,104.4992,94.4886,69.3887,84.3255,43.6298,42.1998,93.6611,117.5802,190.5068,27.4376,44.6487,93.1036,159.8479,64.5655,120.9023,63.9811,29.9748,102.6866,40.1268,56.8279,125.4805,94.4689,175.6421,92.1994,37.8745,137.0032,45.1486,226.7867,101.8635,55.6254,99.4699,91.9062,117.461,72.9216,49.6419,36.8006
584,159.9625,179.6016,65.9414,43.2631,54.1296,38.0813,144.1795,64.2233,86.4126,86.2538,34.2388,135.4279,92.7732,43.2834,76.0952,129.2531,72.8677,60.3757,98.7501,48.0386,42.3581,179.4538,55.7912,57.3104,46.3639,140.9555,27.5014,242.9448,104.9614,94.9877,69.1792,85.6479,44.2541,42.4961,93.8877,118.6136,191.8699,27.7453,45.2763,92.7265,160.5687,64.5451,121.3977,63.7914,30.1211,102.575,40.0565,56.9853,126.227,95.1362,176.4333,93.5277,37.722,137.4696,45.4153,227.3831,102.0033,55.8618,100.749,91.814,118.6622,73.9383,49.192,36.9088
585,158.8747,178.8668,65.6703,42.5824,53.2891,37.5974,141.6694,63.6403,85.6075,85.6441,34.0941,135.5447,91.9549,43.052,73.9854,127.2665,71.9632,59.1301,97.8775,47.8618,42.2683,179.5197,54.5953,56.0701,45.9339,139.5253,27.3736,239.9427,103.8384,93.647,68.9235,85.4169,43.3539,42.1114,93.3657,117.2845,190.9521,27.4067,45.1436,92.0808,158.6401,63.8606,119.7848,62.3734,29.3327,100.814,39.9925,56.2059,124.8078,93.8556,174.4451,93.5188,37.5455,136.9949,44.6878,225.5695,101.8588,54.9833,100.1147,91.1967,117.2985,73.8239,48.7446,36.461
586,157.2956,179.5357,65.5179,42.0108,53.6598,37.2094,140.5606,64.0071,85.9309,85.2504,34.3753,136.1309,92.0618,42.7987,73.7203,126.5491,71.7243,59.109,97.6689,47.9296,41.9673,181.8134,54.3093,55.596,46.0092,138.8637,27.258,240.7109,103.6916,93.211,69.0294,86.0388,43.4192,42.0231,94.0001,115.7267,189.0683,27.3894,44.6689,92.4356,157.0668,63.618,119.5714,62.1596,29.3423,101.0981,39.8942,56.156,124.7216,93.0294,174.6621,94.6255,37.2292,136.368,44.6016,225.6765,102.3564,54.2011,100.375,91.6535,116.8653,73.6089,48.4884,36.257
587,156.9319,178.0428,63.1035,39.8842,54.0126,36.8596,140.848,63.4656,86.1651,85.3733,34.0703,135.8154,91.7515,41.1775,72.9427,127.1207,71.8611,59.1817,97.5381,47.0468,41.6517,180.5165,54.0222,55.4367,46.0226,138.7316,27.2828,240.6988,103.5229,92.9252,68.724,85.1001,42.9309,41.9851,93.5222,115.5033,189.6329,27.1966,44.4624,91.2756,156.7996,63.517,119.1085,61.7037,29.0537,101.38,39.9484,56.2584,124.9396,93.4071,174.8502,94.196,36.1427,136.474,44.7613,225.2636,100.9291,51.7231,99.6694,90.8076,116.4851,73.4624,48.4963,36.1623
588,157.3193,178.4104,59.7856,39.5745,53.8339,36.6724,140.4333,63.9811,86.8967,85.4293,33.8507,135.8322,92.2479,39.9874,72.771,128.1587,71.7095,59.1929,97.9479,46.7651,41.7032,180.4558,54.285,55.2784,45.7459,138.9181,27.3268,241.6215,103.6261,92.8356,68.6254,85.0619,43.0542,42.1336,93.2896,114.3594,189.7783,27.2208,44.5291,90.6946,157.1909,63.864,119.4196,61.5516,28.9514,100.3495,40.048,56.2059,125.395,93.5622,175.1639,93.7456,34.4199,135.6306,44.6418,225.6994,99.9649,51.404,99.6534,89.0509,116.5026,73.5701,48.3598,36.1549
589,158.9106,180.0057,61.0281,40.5623,54.4203,36.5842,141.7386,64.1079,88.2618,86.3894,33.8884,137.0817,92.9452,41.1107,73.4184,130.0027,72.3687,59.6833,98.7263,47.4891,42.1625,182.5484,54.479,55.7357,46.0452,141.2122,27.5819,242.453,104.7005,94.4756,69.1931,86.4042,43.5307,42.3842,93.0893,115.6537,189.4786,27.8293,45.1287,90.41,158.4775,64.9578,119.9173,61.706,29.3376,101.1702,40.4289,56.7991,126.3802,94.1363,176.8413,94.5212,34.7271,136.5381,45.8043,226.44,99.582,52.4456,100.4348,89.6892,117.4887,74.1688,48.5258,36.5225
590,159.9315,180.7372,61.5917,40.4112,54.7292,36.3471,143.1029,64.2231,88.2141,86.4863,34.8618,137.6016,93.1961,41.0686,73.3181,130.5256,72.5925,60.0688,99.3295,48.1148,42.1946,184.5692,54.3912,55.5348,46.2206,142.1121,27.4821,243.2902,104.9188,94.7171,69.5932,86.9008,43.5029,42.4895,94.7757,117.0079,190.9829,28.0755,45.0042,92.149,160.5586,65.3839,120.236,61.9925,29.4672,101.8487,40.7677,57.0405,126.8524,94.777,177.6897,95.1143,34.7741,137.0004,46.2238,227.5395,100.757,52.7818,100.9399,89.8813,118.1223,74.3327,48.4579,36.8556
591,158.3546,180.832,63.2548,40.6815,54.7505,36.2445,142.3173,63.5163,87.9117,85.9879,34.9725,137.1365,92.7514,41.2029,73.1084,129.5297,71.8167,59.6823,98.6302,48.1233,42.0854,183.5036,54.3789,55.0996,46.2044,141.6844,27.3738,238.2131,104.0611,93.8399,69.9996,86.1816,43.0842,42.1714,94.1474,116.3616,190.9474,27.8552,44.9588,91.8326,160.6754,65.0819,119.0429,61.9908,29.6691,101.663,40.4314,56.5605,126.096,94.1685,175.9266,93.9927,34.9714,135.9683,45.8946,225.3794,100.6597,52.9477,100.0934,91.5063,117.5625,74.24,48.3463,36.563
592,155.9454,182.6751,62.7283,40.3666,54.0336,36.0937,142.0245,63.4692,86.9583,84.2673,34.7414,135.7682,92.4012,40.8019,71.9481,127.5903,70.9104,58.7608,97.466,47.7775,41.7549,182.6228,53.1284,54.5772,45.6833,141.9355,27.1928,236.3041,103.301,92.5274,68.907,85.3298,42.3718,41.5101,94.0733,115.535,189.7992,27.5242,44.7379,91.4282,159.7925,64.2197,118.0537,61.1172,29.2822,100.3922,40.2605,55.9458,123.7476,93.334,173.5683,92.8161,34.3237,134.6847,45.5089,224.8119,100.5165,52.4859,99.8421,90.9634,114.7893,73.9478,47.7622,36.1717
593,156.5137,183.188,62.3402,39.5955,54.1835,36.0131,142.2243,63.8268,86.5061,85.2398,34.5635,135.3811,92.0088,40.3884,71.7815,126.7378,70.3441,58.547,97.5426,47.6628,41.9798,181.847,53.2946,55.0816,45.7529,143.3056,27.135,237.7077,103.9609,92.6731,68.9368,85.3419,42.5668,41.6702,93.8424,115.6828,190.4888,27.3507,44.7517,91.3306,161.2586,63.7556,118.056,61.2771,29.8483,99.7503,40.3392,56.4665,123.8796,93.7902,174.0324,92.2331,33.8291,135.2432,45.8297,225.9746,100.591,51.2495,99.9035,88.1682,114.9718,74.1406,47.8075,36.2723
594,156.8584,183.4948,62.0338,39.7074,54.2949,35.8582,143.075,63.9556,87.0407,85.4485,34.7042,135.4288,92.2246,40.6608,72.6779,127.3032,70.312,58.339,97.6955,47.6092,42.4738,176.4481,53.2743,55.3292,45.5726,144.112,27.269,239.5801,104.0628,92.4113,68.8794,85.1881,42.8302,42.0434,94.2689,116.1261,190.7036,27.3922,45.0119,91.4775,162.3626,63.7719,118.1502,61.2618,29.9288,100.4109,40.3692,56.5274,124.2749,94.5737,174.4326,91.6721,33.9264,135.5554,45.8271,226.848,100.8848,51.3494,100.1322,90.098,114.855,74.6715,47.8527,36.4736
595,159.6718,185.004,63.7907,39.9876,55.0829,35.8087,145.7826,64.9068,87.3808,86.4381,35.4409,136.7449,92.4411,41.0373,73.314,128.0535,70.981,58.8525,98.9285,48.4234,43.2655,178.8485,53.6677,55.7433,46.0245,146.1677,27.2591,243.3357,105.4678,93.5797,69.4605,86.3631,43.0822,42.4054,96.289,117.677,193.3319,27.7069,45.5574,92.9501,165.2554,64.8917,118.9348,61.7425,29.8913,101.3028,40.5999,57.3246,125.6264,95.892,176.7445,93.6374,33.5021,137.5143,46.387,228.8629,102.3526,51.6473,101.3998,92.3812,116.0951,75.2986,48.2786,36.9079
596,159.2739,185.7954,64.7929,41.4189,54.7562,35.8026,145.3613,64.3912,87.481,86.751,35.2595,136.3801,92.5848,42.2613,72.7753,128.3408,70.43,58.2446,99.6642,48.2421,43.1137,177.0362,53.5515,55.6761,46.1288,145.5203,27.2925,242.5474,105.4374,92.9684,69.1918,87.1535,43.5039,42.0989,95.5176,116.99,191.7271,27.7915,45.5327,92.628,165.1062,64.7199,118.5278,61.4648,29.8836,100.8247,40.4084,57.1868,124.8179,95.8066,176.4125,93.6837,34.1294,137.2789,46.2243,230.7121,101.713,53.4543,100.9905,92.1842,115.4167,75.2495,47.9568,36.5624
