,APC,APA,COG,CHK,CVX,XEC,CXO,COP,DVN,EOG,EQT,XOM,FTI,HAL,HP,HES,KMI,MRO,MPC,MUR,NOV,NFX,NBL,OXY,OKE,PSX,PXD,RRC,SLB,SWN,RIG,VLO,WMB
618,72.7316,47.1372,28.0337,9.1299,93.8721,102.8476,104.9319,55.8595,51.1333,76.4335,72.9176,82.0821,33.3515,41.2136,58.8011,58.9628,35.4338,22.5111,57.3069,34.8455,42.2665,33.4827,36.8089,69.7921,38.3661,82.0576,124.5296,41.2433,85.0381,20.121,13.2549,67.0739,53.8693
619,72.3285,46.935,27.3369,8.709,93.2623,104.5052,105.5712,54.0493,50.9469,76.2069,74.8769,81.3125,32.3753,42.3553,59.7254,59.0781,35.0142,22.0921,56.6641,34.5201,42.4528,33.3553,36.6521,69.4475,38.3013,81.5808,124.4459,42.3715,85.7556,19.7446,13.5049,66.0184,53.2337
620,71.6345,45.5954,26.6079,8.4013,90.9941,103.3865,103.9203,52.5169,49.6845,75.2659,74.3463,80.156,32.8457,41.8041,56.5708,58.45,34.9512,21.3906,56.0879,33.4144,42.4731,32.9828,35.6716,68.5465,37.8847,79.3631,123.1051,42.0179,83.6604,18.7851,13.2332,65.6638,52.851
621,70.4101,44.6171,26.5068,8.3925,89.3951,100.7818,100.0322,51.2272,48.9034,73.6981,75.9004,79.4828,32.6517,40.9797,55.4963,57.8849,35.1352,20.8995,54.8604,33.1187,41.6341,31.4019,34.9204,67.7335,37.7626,76.8339,121.9246,42.4787,81.941,18.561,13.0945,64.5041,51.9855
622,71.9706,46.2115,26.8696,8.81,91.6276,101.9824,101.3735,52.0666,49.7236,76.2222,77.6318,81.7605,33.1789,41.2973,57.1488,59.228,35.6261,21.117,54.4341,33.9504,41.8573,31.0955,35.5504,69.1107,38.5235,78.4099,125.0932,43.8754,82.3431,19.2395,13.8388,64.7049,52.6751
623,75.844,46.8823,26.5967,9.1113,92.7995,104.8618,105.711,52.8072,50.8911,77.93,77.829,82.7843,33.5254,42.7312,59.5333,60.0378,35.0043,21.566,55.1168,34.162,43.5997,32.3021,35.9503,70.4834,39.512,79.2553,130.1048,41.8831,83.626,19.1548,14.3883,65.0523,53.6546
624,76.468,46.4262,26.144,9.043,93.2815,105.5318,109.058,52.322,50.7287,78.0734,77.4334,82.9452,33.1049,42.6428,59.3094,60.0971,35.076,21.7728,53.5748,34.5416,43.4215,33.0658,36.1506,70.9965,37.9653,78.8613,130.9987,40.1937,83.585,19.1531,14.0303,63.9608,53.2905
625,74.8084,46.1683,26.276,8.792,88.9788,104.8588,107.3321,50.6555,49.7325,77.5883,77.2391,79.5792,32.9093,42.013,57.9379,59.4284,34.8552,21.2815,54.5801,33.3188,42.3141,32.9934,35.4373,70.4993,37.928,79.6187,127.4965,39.6349,82.9445,18.7246,13.4937,65.4349,52.807
626,73.3639,45.2901,25.6969,8.3287,85.8506,102.7794,105.3033,49.7115,48.6102,76.3237,75.2158,78.0995,32.841,40.3917,57.7978,57.8847,33.9252,20.7294,53.8468,32.2122,41.2567,32.4309,34.1739,69.2793,36.8322,79.1799,123.5488,38.5839,82.1705,17.9258,12.6395,65.2205,51.9019
627,74.1643,45.4347,25.6156,8.1556,85.4953,104.8076,105.411,49.9809,48.6989,77.1798,74.7168,77.5226,32.7212,39.8644,58.638,57.8516,33.6289,20.5874,52.3577,32.5149,40.862,32.5914,34.0737,69.265,35.8853,78.5289,125.2218,38.1433,82.287,17.2898,12.3726,64.299,51.3215
628,74.4875,45.2149,25.4241,7.4441,84.7283,108.3051,106.6336,49.5794,48.3115,76.9105,74.8462,77.413,33.1112,40.4089,58.0158,56.5728,32.8894,20.127,52.0378,31.9219,40.4482,32.7073,33.9371,69.1067,36.2625,78.99,126.7959,37.0111,82.7398,16.7934,12.3472,64.8445,50.0288
629,75.125,45.5867,25.2243,7.7961,84.5816,111.401,107.0105,49.7294,47.7908,77.1174,75.4335,77.7963,33.2017,40.5109,60.343,56.2355,32.2107,18.9917,51.8034,32.3804,40.5355,34.1048,33.4025,69.1307,34.8861,79.0901,127.5181,37.3631,83.3765,17.1335,13.2466,65.1818,48.4141
630,73.8974,46.3808,25.1615,8.6538,84.1133,111.8232,108.7118,49.441,47.0096,74.912,74.9396,77.1382,32.5802,40.025,60.5857,56.4859,32.4183,18.8752,51.4946,32.692,39.9959,34.6137,33.0505,69.1545,34.7325,79.8294,125.7539,36.3935,82.575,17.1122,13.7645,65.3143,49.0432
631,74.9216,47.502,25.5082,8.5878,85.3987,114.1608,110.5287,49.5564,47.5495,75.7106,76.2094,78.3459,33.6606,41.108,61.8011,57.753,32.4379,18.8431,52.8792,33.4037,40.5588,34.8578,33.7548,70.7553,35.3376,81.701,126.6097,36.9949,83.9967,17.9027,14.2095,68.3416,49.6662
632,74.5701,47.2296,25.8156,8.2232,84.7247,113.3657,110.2698,49.7751,47.0869,75.9476,75.7973,76.9197,33.1514,41.3581,61.2544,57.3629,32.5793,18.5761,54.5415,33.0509,40.1456,35.0192,33.7267,70.5553,35.5631,82.755,125.8822,37.8106,83.6404,17.9167,14.2641,69.5156,49.7043
633,76.9912,48.6205,26.6721,8.1151,86.1204,117.0528,112.6365,51.2211,47.3087,78.7633,77.9612,77.9302,33.3591,42.1186,61.7486,58.7191,33.5586,18.926,56.9204,33.9412,40.6928,36.1815,34.9074,72.8274,37.2148,83.8295,128.6567,38.7008,84.2145,18.57,14.8612,69.9092,50.3188
634,76.4488,48.2817,26.8903,7.6306,85.8861,115.4661,110.4893,50.1951,46.3598,79.6302,78.2937,78.8152,32.7805,41.8843,60.4782,58.8944,33.1945,18.2331,57.3599,33.0725,39.8406,35.9386,35.6712,72.9294,36.5253,83.4357,127.2188,37.0399,84.2308,17.8426,14.2111,70.3899,51.2191
635,76.281,47.4218,27.0348,7.4403,85.8762,115.5319,110.1314,49.8542,46.0082,79.7452,78.3396,78.497,32.9731,42.0304,59.2024,59.1302,34.0384,17.6224,55.668,32.7361,39.6196,35.9319,36.2302,73.3946,36.3194,82.2549,127.5415,36.5042,83.9981,17.4858,13.8359,68.3102,52.1744
636,76.253,47.5392,26.9519,7.5907,83.5496,115.1415,109.54,49.5524,46.2977,79.7159,78.1963,78.6132,32.9139,41.264,57.7443,58.9107,34.4664,17.1807,55.8246,32.2821,39.4993,35.5854,35.5659,73.4916,36.57,82.6967,126.8899,36.4335,83.4132,17.4195,13.7093,69.2096,54.5446
637,76.5192,47.9359,26.5523,7.7891,83.3007,116.6246,109.693,49.5074,46.205,80.0479,77.6768,77.8974,32.6676,41.1327,58.3949,59.0188,33.8884,17.4854,55.4818,31.8115,39.7174,35.1275,35.1742,73.5582,35.4419,83.056,127.7773,36.7886,83.1132,17.5384,14.1021,69.2476,53.9781
638,73.2985,46.1612,26.0153,7.4044,81.2776,113.0213,106.146,47.7981,45.0327,77.3576,75.5196,76.5338,32.0063,39.6095,57.3009,57.0947,33.5757,16.4374,54.5711,30.8732,39.3345,33.7411,34.2992,72.5836,34.6131,81.1125,125.6952,36.1836,81.1707,17.2902,13.8213,68.1551,53.3159
639,71.3618,45.3092,25.2806,7.3126,80.1142,110.3401,104.6482,47.4782,43.6123,77.3733,74.9797,75.2757,31.3207,38.5717,57.3099,56.1901,33.0404,16.2628,53.9596,30.209,38.9234,32.917,33.6336,71.066,35.1213,80.366,123.7171,35.823,80.3387,16.938,13.5166,67.7931,51.5847
640,69.6735,43.6414,24.5633,6.9826,77.3105,107.5468,101.6031,46.0475,41.6209,75.141,74.45,73.208,30.37,36.0322,55.576,55.1672,32.0618,15.8848,49.3167,29.5124,37.6931,31.244,32.8272,69.7233,34.288,76.5481,121.0784,35.7866,78.357,16.4633,13.0568,62.5406,50.0945
641,65.5791,40.8609,22.5135,6.541,72.9654,100.3797,95.4385,43.2444,38.9213,69.8263,72.0507,69.2441,29.1595,33.9076,51.966,51.9499,30.3611,14.7193,45.6816,27.9727,37.3502,28.1924,31.3988,66.3515,32.4612,72.0368,112.7086,33.4946,74.4091,15.4686,12.3139,58.4422,47.0956
642,65.5384,40.2575,22.2024,6.4005,72.4715,100.6667,95.2387,43.5164,37.9263,69.958,72.5958,70.2164,29.4135,34.2938,51.4753,51.3191,30.6329,14.5237,45.3007,27.5428,37.9697,27.851,31.1783,67.5316,32.3642,72.1333,111.1869,34.1352,74.3809,15.1807,12.6015,58.6576,46.4228
643,64.6992,39.1807,21.3078,6.1926,71.8559,100.0721,94.4177,42.9512,37.7708,69.8475,73.065,71.3041,30.5498,34.2409,51.3486,50.5071,30.3252,14.3939,44.5482,27.416,38.6278,27.5212,31.32,66.5305,32.1466,72.0359,107.6834,34.5113,69.5517,14.9194,11.7465,57.7267,45.2828
644,68.6039,42.3343,22.4295,6.8995,76.7026,104.8443,101.6022,45.6155,40.338,74.9709,76.4944,74.1436,32.1031,37.1725,54.2617,54.8324,31.8573,15.6713,46.4913,29.2854,40.9456,30.5736,33.5497,69.6516,34.0618,74.9114,114.7445,37.4028,72.7712,15.3345,12.4339,58.4752,47.3919
645,71.0058,44.6228,23.3096,7.4137,80.1565,107.9154,106.1229,47.0197,42.0335,77.515,77.6642,75.145,33.8673,38.589,57.9105,57.5332,32.5833,16.7113,47.1248,30.3371,41.7986,31.4874,34.6001,71.9435,35.4757,76.6398,120.5304,38.4143,75.5119,15.8914,13.6362,58.9684,48.635
646,70.9159,44.3451,23.6704,7.5894,80.0454,109.4196,107.083,48.3072,42.3849,77.698,77.7964,74.8269,34.5517,38.8988,58.2758,58.564,32.476,16.9699,47.3618,30.5437,41.9631,32.7213,33.0524,72.4647,35.8086,79.0892,122.1816,38.3198,76.6088,16.0884,13.8023,59.6809,48.4322
647,68.9799,43.4442,23.1925,7.7196,78.4233,106.5198,104.5029,47.5039,40.7818,76.1014,75.745,72.3603,33.4753,38.0886,56.5777,57.3743,31.5357,16.868,46.2543,28.9169,41.6734,32.3189,31.3355,70.1757,35.0199,77.61,117.1198,38.265,75.6165,15.8315,13.8417,57.4609,46.4626
648,68.6348,42.4786,23.0756,7.3398,78.0767,106.9357,103.8491,47.7956,40.1673,76.6252,75.0844,72.823,33.7519,37.9811,54.3623,56.704,31.1047,16.6189,46.1936,28.791,40.8933,32.2203,30.3064,70.2257,35.0738,77.9463,116.1901,37.7964,75.1872,15.544,13.3652,58.1752,46.3785
649,70.0051,43.7698,23.5017,7.4449,78.5835,109.0995,106.88,48.6379,41.2572,78.1564,75.3621,74.0394,33.9808,38.256,55.2852,58.0033,31.2738,17.0348,47.2118,29.4086,41.1318,33.3759,30.7299,71.3767,35.7862,78.8491,119.7871,38.5561,76.4825,15.4425,13.5038,59.78,47.6638
650,68.403,42.3613,22.964,7.2854,76.8922,107.4996,104.4826,47.1976,40.1309,76.7759,73.5296,72.5445,33.3271,37.0717,52.5645,56.454,30.8164,16.4547,46.4324,28.6013,40.2802,33.153,30.5949,69.6907,35.3305,77.17,117.6842,36.8612,74.9873,15.2707,13.3735,58.4395,46.7223
651,69.0903,43.1514,22.7477,7.686,76.7964,109.2931,105.8651,48.1864,40.3235,77.2272,74.4351,73.332,33.7321,37.5888,52.692,56.4227,31.0388,16.3378,47.4923,28.7391,40.5726,33.9394,31.1181,68.9748,36.1654,78.7719,121.0096,36.4668,75.4121,15.4694,13.7876,60.5267,46.9587
652,68.5005,42.3104,22.8791,7.7727,76.0322,109.7483,103.6904,48.4799,40.2111,77.8273,73.9563,73.0152,33.3288,37.8051,51.563,56.0878,30.9716,15.409,48.0969,28.4949,39.326,34.5352,30.4779,68.4545,36.0773,81.5993,120.2902,36.5084,75.4982,15.2991,14.4936,61.9144,46.4719
653,67.0285,40.8728,22.8947,7.6298,75.3008,108.0986,101.7732,48.1432,40.1064,77.6862,72.8681,72.4318,33.1805,37.2536,50.791,54.3223,30.584,15.0383,47.9385,28.0737,38.8576,34.386,30.6499,67.6645,35.9355,81.0753,120.8222,35.9956,73.9143,15.185,14.584,62.7477,44.316
654,65.4983,39.8946,23.0236,7.483,75.6717,105.0906,98.2202,47.2455,38.6626,76.7265,72.2806,72.3925,32.4276,37.0492,49.1099,52.2506,29.9985,14.8998,47.4609,26.4392,38.5138,33.8264,30.666,66.4734,35.1319,80.3254,117.6464,36.1766,73.1739,15.267,14.1097,62.5333,42.4564
655,64.9013,39.9993,22.3075,7.8158,75.5841,103.4908,95.9967,46.6808,38.7341,76.5094,71.9825,72.2466,32.9412,36.881,48.8046,51.814,29.9562,15.2789,46.8371,26.8608,38.5469,33.5231,30.7381,66.4087,34.586,78.7023,116.5085,36.0705,72.7607,15.19,14.4408,61.2841,42.1393
