,APD,ALB,AVY,BLL,CF,EMN,ECL,FMC,FCX,IP,IFF,LYB,MLM,MON,NEM,NUE,PPG,PX,SEE,SHW,MOS,VMC
1092,143.4811,113.6504,83.3176,40.4342,26.8288,81.3192,132.7789,76.291,12.0319,53.6887,135.9754,79.6262,232.1056,117.721,35.0331,58.8053,107.5362,132.6033,44.3816,344.5337,22.594,128.3947
1093,145.3841,115.2538,84.0708,40.3315,27.167,82.487,133.4146,76.6271,12.3192,54.6392,136.6575,81.4601,234.2647,117.5255,34.4195,59.5006,109.2999,135.1143,44.0745,351.8153,23.3312,130.4286
1094,144.7505,112.1383,84.2032,40.3281,27.519,83.1989,133.1873,75.7832,12.4037,55.196,136.893,81.8604,231.8776,117.6649,34.3906,59.9322,110.1094,135.6601,44.2417,349.0774,23.7016,129.7022
1095,145.7245,111.9092,85.2362,41.0422,28.1345,83.6288,134.1802,76.097,12.304,55.6997,136.1266,82.534,235.279,118.0125,34.4561,60.3335,111.2486,136.0195,44.7925,352.4687,23.5357,132.0204
1096,145.5076,109.8751,85.6481,41.3487,27.5488,82.9401,133.9866,75.8557,12.153,55.8805,136.2033,81.7837,231.8483,117.9567,34.1842,59.2377,111.313,135.3888,45.1327,350.7545,22.8698,130.0803
1097,145.4009,105.8839,85.6054,41.0152,26.8579,82.19,133.6557,75.4411,11.6776,55.8931,134.8133,79.9638,228.6244,117.669,33.1856,55.4908,111.2162,134.674,44.94,350.3545,22.3776,128.1562
1098,145.2576,107.3772,85.5294,41.1682,27.2998,82.7605,133.9325,76.1657,11.3675,56.2569,134.6328,80.493,230.0088,117.7799,32.9017,54.7429,111.1584,135.6197,44.9766,350.5931,22.508,129.1417
1099,146.1515,108.0071,86.5114,41.774,28.0587,85.7864,134.4011,75.891,11.5815,56.8144,135.9787,81.4228,231.0876,117.8054,32.871,56.1563,111.1693,136.5031,45.1193,355.4341,22.8152,130.3069
1100,145.0347,107.9365,88.0568,41.8548,27.3583,85.2716,134.1705,75.8041,11.2302,56.7579,136.5631,80.0404,229.2072,117.7803,32.7978,56.1452,110.8448,135.2246,45.1044,358.65,22.3306,129.4059
1101,144.1657,106.7117,87.5519,41.8126,26.8975,83.797,132.6955,75.8013,11.2406,56.3095,136.3342,79.748,228.1249,117.5551,33.0446,56.2911,110.7026,133.552,45.1915,356.0181,21.9847,128.7366
1102,144.2114,105.6297,87.6686,41.7909,27.3085,83.0407,132.0588,74.6654,11.4628,56.3469,135.1484,80.1292,227.0937,117.1079,33.4631,56.4819,110.602,132.6241,45.0993,354.6057,22.2696,129.4537
1103,144.8068,105.0481,87.9801,42.0493,27.2772,82.9865,131.8433,74.6368,11.693,56.859,136.1682,80.1888,227.878,117.0362,33.7983,57.6408,110.6753,132.9628,44.9062,356.1986,22.8307,131.7113
1104,144.9817,105.0916,88.1467,42.281,27.3717,83.4251,132.1857,74.9076,11.8343,56.6677,137.1086,80.8006,232.2519,117.5266,33.7715,57.3559,110.8438,132.8016,45.3473,358.6298,23.1663,133.4389
1105,144.6697,104.8786,88.2615,42.0843,27.2199,83.817,132.0814,74.4893,11.9219,56.4692,135.7724,82.3,227.9038,117.3106,33.3318,57.4746,110.8632,132.5208,45.1944,358.5165,22.9225,131.7057
1106,144.9629,106.6874,88.9045,42.49,27.2612,84.4326,132.9857,74.9508,11.9589,55.9944,136.1686,83.6142,227.5767,118.4026,33.0193,58.0788,111.1345,133.4577,45.5605,361.553,22.7808,131.0623
1107,142.0928,105.0505,88.1453,42.1483,27.5899,83.8082,131.7114,73.5848,12.1705,55.7781,133.6508,83.9646,222.5995,118.3049,32.3842,58.2424,110.0516,132.2731,44.9235,355.4561,22.6598,127.1948
1108,143.0116,105.785,88.5573,42.285,27.5872,84.0368,132.7788,72.8723,12.0347,56.5127,135.109,84.6495,222.6359,118.3418,32.3843,58.3421,110.0508,132.3548,44.8547,351.871,22.7643,127.1445
1109,144.3538,105.8272,88.9424,42.5721,28.9359,84.6685,132.9686,73.4172,12.2124,57.0321,135.3968,85.3667,223.6007,118.3866,31.6909,58.6569,110.7735,133.8491,44.9639,353.8491,23.6412,126.9881
1110,143.0297,107.6969,88.8535,42.6508,28.9123,83.3494,133.4725,73.4857,12.1718,56.7694,134.3399,83.5064,224.1873,117.9722,32.5498,58.8913,110.6988,132.9685,44.9974,351.0921,23.0448,129.2627
1111,142.5558,108.0867,89.1042,42.1791,28.1033,83.7542,132.4615,73.5171,12.0065,56.2095,132.5215,83.4654,226.1154,117.7602,32.3674,59.3891,110.0754,132.7113,44.7611,349.2918,22.5926,129.3751
1112,143.5131,109.6427,90.6337,42.2674,27.7281,83.8068,132.3043,74.3469,11.8783,56.4018,132.0112,83.6711,227.0744,117.8406,32.0488,58.1027,110.8918,132.7639,45.314,351.7351,22.4825,128.1064
1113,143.8225,111.3652,91.3141,42.2051,29.436,84.5315,132.2117,75.7759,12.4405,57.1624,131.8332,84.184,225.5076,117.8588,32.4337,58.8446,111.1621,133.4116,45.7034,351.9903,23.7646,126.2377
1114,142.9145,112.4373,91.8391,41.7297,29.1572,85.0083,131.9837,74.4276,12.4522,57.1156,131.8502,84.2828,220.7636,117.4612,32.7125,58.6873,111.0408,132.9936,45.5132,352.2313,23.5291,124.9371
1115,143.7206,116.1185,93.2675,41.8723,29.2212,85.7304,132.9157,75.3808,12.3493,57.2876,133.3663,85.569,224.1262,116.9628,33.2744,58.8516,111.9123,133.9043,45.7936,355.1731,23.8319,126.0705
1116,144.1486,117.8426,93.044,41.7771,29.2353,85.3155,132.1305,76.6744,12.4237,58.2985,132.744,85.4169,225.6834,116.5722,33.0763,59.9672,112.3647,133.5869,46.0022,355.9403,23.6878,125.4656
1117,145.3972,117.6996,93.8789,42.1047,29.5828,85.4596,132.5859,76.7065,12.5862,58.1909,133.7187,86.0886,223.9911,116.7999,33.437,60.0015,112.8412,134.1932,46.063,356.453,23.727,125.1972
1118,145.6987,116.9451,93.9664,42.3117,29.2246,85.3251,132.2722,76.8894,13.0824,58.1685,133.889,85.8833,224.139,117.3901,33.7594,59.9558,113.06,134.4725,46.1383,359.5819,23.9935,124.9496
